active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2017-10-18,10,17,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,WIN,1362,4,6,2,2,0,0,0,3,3,2,0,1,2,10.6
True,2017-10-20,2,-5,PORTLAND TRAIL BLAZERS,AWAY,INDIANA PACERS,WIN,144,1,1,0,0,0,0,0,0,0,0,0,0,1,1.3
True,2017-10-21,3,-2,PORTLAND TRAIL BLAZERS,AWAY,MILWAUKEE BUCKS,LOSS,367,1,2,0,1,1,2,1,0,0,0,0,0,0,2.3
True,2017-10-24,0,-3,PORTLAND TRAIL BLAZERS,HOME,NEW ORLEANS PELICANS,WIN,210,0,0,0,0,0,0,0,1,0,1,0,0,0,1.3
True,2017-10-26,3,-3,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES CLIPPERS,LOSS,496,1,2,1,1,0,0,0,2,3,0,0,0,1,4.3
True,2017-10-30,0,-7,PORTLAND TRAIL BLAZERS,HOME,TORONTO RAPTORS,LOSS,209,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2017-11-07,12,9,PORTLAND TRAIL BLAZERS,HOME,MEMPHIS GRIZZLIES,LOSS,1202,5,8,1,1,1,1,0,2,0,0,0,1,0,8.0
True,2017-11-10,11,-1,PORTLAND TRAIL BLAZERS,HOME,BROOKLYN NETS,LOSS,1173,5,7,1,2,0,0,0,3,2,1,0,0,2,10.6
True,2017-11-13,8,18,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,WIN,878,1,3,0,1,6,7,0,0,3,2,0,0,0,10.0
True,2017-11-15,19,11,PORTLAND TRAIL BLAZERS,HOME,ORLANDO MAGIC,WIN,1595,7,12,5,5,0,0,0,0,2,3,1,1,2,16.7
True,2017-11-17,5,-9,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,LOSS,1291,2,7,1,3,0,0,1,1,2,0,0,1,3,1.1
True,2017-11-18,11,3,PORTLAND TRAIL BLAZERS,HOME,SACRAMENTO KINGS,WIN,1236,5,6,1,1,0,2,1,3,1,1,0,2,1,8.9
True,2017-11-20,16,13,PORTLAND TRAIL BLAZERS,AWAY,MEMPHIS GRIZZLIES,WIN,1627,5,13,1,2,5,6,0,4,3,1,1,2,1,11.1
True,2017-11-22,13,-6,PORTLAND TRAIL BLAZERS,AWAY,PHILADELPHIA 76ERS,LOSS,1649,4,6,1,2,4,4,0,3,4,2,0,2,1,13.7
True,2017-11-24,5,10,PORTLAND TRAIL BLAZERS,AWAY,BROOKLYN NETS,WIN,1227,1,6,0,3,3,3,1,0,0,0,0,1,0,0.9
True,2017-11-25,2,-13,PORTLAND TRAIL BLAZERS,AWAY,WASHINGTON WIZARDS,WIN,862,0,4,0,2,2,2,0,1,0,0,0,1,1,-1.9
True,2017-11-27,5,2,PORTLAND TRAIL BLAZERS,AWAY,NEW YORK KNICKS,WIN,1085,2,5,1,2,0,0,0,2,2,3,0,0,1,6.9
