active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2017-10-18,10,-18,DALLAS MAVERICKS,HOME,ATLANTA HAWKS,LOSS,1469,4,14,2,7,0,1,1,5,0,0,0,0,3,2.4
True,2017-10-20,10,6,DALLAS MAVERICKS,HOME,SACRAMENTO KINGS,LOSS,1753,4,9,2,4,0,0,0,9,2,0,0,0,1,9.0
True,2017-10-21,2,-15,DALLAS MAVERICKS,AWAY,HOUSTON ROCKETS,LOSS,1076,1,8,0,2,0,0,1,4,1,0,0,0,3,-1.8
True,2017-10-23,11,-29,DALLAS MAVERICKS,HOME,GOLDEN STATE WARRIORS,LOSS,1734,4,12,0,0,3,4,2,5,2,1,0,3,1,5.7
True,2017-10-25,13,9,DALLAS MAVERICKS,HOME,MEMPHIS GRIZZLIES,WIN,1476,5,10,0,3,3,3,1,4,3,0,0,0,0,12.0
True,2017-10-26,14,-9,DALLAS MAVERICKS,AWAY,MEMPHIS GRIZZLIES,LOSS,1697,5,13,2,3,2,2,0,7,0,3,0,3,5,7.0
True,2017-10-28,11,24,DALLAS MAVERICKS,HOME,PHILADELPHIA 76ERS,LOSS,1670,4,7,3,5,0,0,0,0,5,0,2,1,2,10.8
True,2017-10-30,18,-13,DALLAS MAVERICKS,AWAY,UTAH JAZZ,LOSS,1487,7,11,4,5,0,1,0,5,1,0,0,2,3,11.7
True,2017-11-01,13,-4,DALLAS MAVERICKS,AWAY,LOS ANGELES CLIPPERS,LOSS,1277,5,11,1,3,2,2,1,7,3,0,1,1,0,11.9
True,2017-11-03,7,-4,DALLAS MAVERICKS,HOME,NEW ORLEANS PELICANS,LOSS,1305,2,9,0,1,3,3,0,6,0,0,0,1,1,1.9
True,2017-11-04,7,-12,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1284,3,8,1,2,0,0,0,3,0,1,0,0,1,4.1
True,2017-11-07,6,-8,DALLAS MAVERICKS,AWAY,WASHINGTON WIZARDS,WIN,1149,3,5,0,1,0,0,1,4,1,0,0,2,4,2.7
True,2017-11-11,14,-3,DALLAS MAVERICKS,HOME,CLEVELAND CAVALIERS,LOSS,1506,6,9,2,2,0,0,1,4,0,1,1,0,0,13.7
True,2017-11-12,5,-21,DALLAS MAVERICKS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1190,2,7,0,5,1,1,0,1,1,0,0,0,4,0.3
True,2017-11-14,12,3,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,1737,5,8,1,4,1,1,1,6,6,0,1,1,1,14.4
True,2017-11-17,15,-4,DALLAS MAVERICKS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1465,6,12,1,5,2,2,0,7,1,0,0,0,2,11.0
True,2017-11-18,7,17,DALLAS MAVERICKS,HOME,MILWAUKEE BUCKS,WIN,1488,3,8,1,3,0,0,1,6,4,1,0,1,3,6.7
True,2017-11-20,14,8,DALLAS MAVERICKS,HOME,BOSTON CELTICS,LOSS,1945,7,12,0,1,0,0,0,12,2,0,1,1,1,12.7
True,2017-11-22,13,9,DALLAS MAVERICKS,AWAY,MEMPHIS GRIZZLIES,WIN,1692,5,12,3,6,0,0,1,7,1,2,1,1,0,11.8
True,2017-11-25,19,26,DALLAS MAVERICKS,HOME,OKLAHOMA CITY THUNDER,WIN,1338,7,10,4,7,1,1,0,5,4,2,0,2,1,18.7
True,2017-11-27,11,-4,DALLAS MAVERICKS,AWAY,SAN ANTONIO SPURS,LOSS,1538,4,7,1,3,2,2,0,4,2,0,0,1,3,8.1
True,2017-11-29,10,8,DALLAS MAVERICKS,HOME,BROOKLYN NETS,LOSS,1564,4,9,2,4,0,0,0,7,1,0,0,0,2,7.3
True,2017-12-02,16,32,DALLAS MAVERICKS,HOME,LOS ANGELES CLIPPERS,WIN,1489,5,6,5,5,1,1,0,3,1,1,1,1,1,15.7
True,2017-12-04,9,12,DALLAS MAVERICKS,HOME,DENVER NUGGETS,WIN,1248,2,6,1,2,4,4,0,6,2,0,0,0,1,8.4
True,2017-12-06,16,-21,DALLAS MAVERICKS,AWAY,BOSTON CELTICS,LOSS,1671,6,15,2,7,2,2,0,6,0,1,0,0,1,10.3
True,2017-12-08,11,7,DALLAS MAVERICKS,AWAY,MILWAUKEE BUCKS,LOSS,1692,3,10,2,5,3,3,0,5,1,2,0,2,2,6.6
True,2017-12-10,10,-4,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1522,4,8,2,5,0,0,0,5,1,1,1,1,3,7.7
True,2017-12-12,6,0,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,WIN,1604,1,8,0,1,4,4,1,1,2,0,0,0,1,2.8
True,2017-12-14,18,2,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,1606,6,13,2,3,4,5,0,9,2,0,0,0,2,14.2
True,2017-12-16,19,4,DALLAS MAVERICKS,AWAY,SAN ANTONIO SPURS,LOSS,1488,8,13,3,6,0,0,0,2,3,0,0,0,2,15.0
True,2017-12-18,5,-15,DALLAS MAVERICKS,HOME,PHOENIX SUNS,LOSS,1499,2,6,1,3,0,0,0,4,1,1,1,1,2,3.4
True,2017-12-20,12,1,DALLAS MAVERICKS,HOME,DETROIT PISTONS,WIN,1550,4,9,2,6,2,2,0,4,1,0,1,0,0,9.9
True,2017-12-22,20,-14,DALLAS MAVERICKS,AWAY,MIAMI HEAT,LOSS,1949,7,17,6,15,0,0,0,4,3,0,0,2,0,12.2
True,2017-12-23,18,-6,DALLAS MAVERICKS,AWAY,ATLANTA HAWKS,LOSS,1619,7,11,3,5,1,1,1,5,4,0,1,1,1,17.4
True,2017-12-26,18,5,DALLAS MAVERICKS,HOME,TORONTO RAPTORS,WIN,1612,8,13,1,2,1,1,2,5,1,1,3,2,3,15.6
True,2017-12-27,15,6,DALLAS MAVERICKS,AWAY,INDIANA PACERS,WIN,1582,7,10,1,3,0,0,0,7,3,1,1,0,1,16.3
True,2017-12-29,13,17,DALLAS MAVERICKS,AWAY,NEW ORLEANS PELICANS,WIN,1485,4,9,3,5,2,3,0,12,2,0,1,0,3,12.4
True,2017-12-31,13,-2,DALLAS MAVERICKS,AWAY,OKLAHOMA CITY THUNDER,WIN,1409,6,12,1,4,0,0,1,3,0,0,0,0,1,8.2
True,2018-01-03,12,-1,DALLAS MAVERICKS,HOME,GOLDEN STATE WARRIORS,LOSS,1490,5,11,0,2,2,3,0,8,2,1,0,0,1,10.3
