active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2017-10-28,0,-2,MEMPHIS GRIZZLIES,HOME,HOUSTON ROCKETS,WIN,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2017-12-11,0,-1,MEMPHIS GRIZZLIES,HOME,MIAMI HEAT,LOSS,112,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0
True,2017-12-20,2,0,MEMPHIS GRIZZLIES,AWAY,GOLDEN STATE WARRIORS,LOSS,141,1,2,0,0,0,0,1,0,0,0,0,0,0,1.7
True,2017-12-30,4,5,MEMPHIS GRIZZLIES,AWAY,GOLDEN STATE WARRIORS,LOSS,152,2,2,0,0,0,0,0,3,0,0,0,1,1,2.9
True,2018-01-17,8,0,MEMPHIS GRIZZLIES,HOME,NEW YORK KNICKS,WIN,866,4,4,0,0,0,1,1,1,0,0,1,1,3,5.9
True,2018-01-19,4,2,MEMPHIS GRIZZLIES,HOME,SACRAMENTO KINGS,WIN,220,2,2,0,0,0,0,0,0,0,0,0,0,0,3.4
True,2018-01-20,0,0,MEMPHIS GRIZZLIES,AWAY,NEW ORLEANS PELICANS,LOSS,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2018-01-22,4,10,MEMPHIS GRIZZLIES,HOME,PHILADELPHIA 76ERS,WIN,928,2,3,0,0,0,0,1,2,1,0,1,0,2,4.6
True,2018-01-24,8,-3,MEMPHIS GRIZZLIES,HOME,SAN ANTONIO SPURS,LOSS,990,4,5,0,0,0,0,2,4,0,0,1,2,4,5.8
True,2018-01-26,12,-10,MEMPHIS GRIZZLIES,HOME,LOS ANGELES CLIPPERS,LOSS,1254,5,8,0,0,2,2,1,2,2,0,0,1,2,9.3
True,2018-01-29,10,2,MEMPHIS GRIZZLIES,HOME,PHOENIX SUNS,WIN,1209,2,4,0,0,6,6,4,3,3,0,0,3,1,10.4
True,2018-01-31,7,-6,MEMPHIS GRIZZLIES,AWAY,INDIANA PACERS,LOSS,1367,3,5,0,0,1,2,5,3,1,0,0,2,1,7.0
True,2018-02-04,2,-6,MEMPHIS GRIZZLIES,AWAY,TORONTO RAPTORS,LOSS,316,1,2,0,0,0,0,0,2,0,0,0,1,0,0.6
True,2018-02-06,10,2,MEMPHIS GRIZZLIES,AWAY,ATLANTA HAWKS,LOSS,1246,5,8,0,0,0,0,3,8,2,1,1,2,1,11.6
True,2018-02-07,4,0,MEMPHIS GRIZZLIES,HOME,UTAH JAZZ,LOSS,672,2,3,0,0,0,0,1,2,1,1,0,1,0,4.7
True,2018-02-11,6,1,MEMPHIS GRIZZLIES,AWAY,OKLAHOMA CITY THUNDER,LOSS,1057,3,5,0,0,0,0,2,4,0,0,0,0,3,5.1
True,2018-02-23,0,-5,MEMPHIS GRIZZLIES,HOME,CLEVELAND CAVALIERS,LOSS,277,0,1,0,0,0,0,0,1,0,0,0,2,0,-2.4
True,2018-02-24,9,-9,MEMPHIS GRIZZLIES,AWAY,MIAMI HEAT,LOSS,1412,3,4,0,0,3,4,2,4,1,1,0,3,4,6.7
True,2018-02-26,0,-12,MEMPHIS GRIZZLIES,AWAY,BOSTON CELTICS,LOSS,704,0,4,0,0,0,0,0,0,0,0,0,0,0,-2.8
True,2018-02-28,4,-1,MEMPHIS GRIZZLIES,HOME,PHOENIX SUNS,LOSS,759,2,3,0,0,0,0,0,5,1,1,0,1,2,4.1
True,2018-03-02,9,-7,MEMPHIS GRIZZLIES,HOME,DENVER NUGGETS,LOSS,1257,4,8,0,0,1,2,6,1,4,2,0,1,2,12.1
True,2018-03-03,5,3,MEMPHIS GRIZZLIES,AWAY,ORLANDO MAGIC,LOSS,903,2,3,0,0,1,2,2,2,0,0,0,1,5,2.3
True,2018-03-05,6,-1,MEMPHIS GRIZZLIES,AWAY,SAN ANTONIO SPURS,LOSS,872,3,3,0,0,0,0,0,6,1,0,1,0,2,7.5
True,2018-03-07,0,0,MEMPHIS GRIZZLIES,AWAY,CHICAGO BULLS,LOSS,658,0,0,0,0,0,0,1,1,0,1,0,0,1,1.6
True,2018-03-09,0,-4,MEMPHIS GRIZZLIES,HOME,UTAH JAZZ,LOSS,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2018-03-10,5,-15,MEMPHIS GRIZZLIES,AWAY,DALLAS MAVERICKS,LOSS,994,2,5,0,0,1,1,1,3,1,0,0,3,2,0.8
True,2018-03-12,0,-2,MEMPHIS GRIZZLIES,HOME,MILWAUKEE BUCKS,LOSS,60,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2018-03-19,10,5,MEMPHIS GRIZZLIES,AWAY,BROOKLYN NETS,LOSS,1300,4,9,0,0,2,2,2,4,2,1,1,1,0,10.0
True,2018-03-22,0,-13,MEMPHIS GRIZZLIES,AWAY,CHARLOTTE HORNETS,LOSS,384,0,1,0,0,0,0,1,1,0,0,0,0,1,-0.1
True,2018-03-30,4,-3,MEMPHIS GRIZZLIES,AWAY,UTAH JAZZ,LOSS,776,2,5,0,0,0,0,2,2,1,0,1,1,4,2.1
True,2018-04-01,6,9,MEMPHIS GRIZZLIES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1438,3,5,0,0,0,0,1,12,0,0,0,0,0,8.0
True,2018-04-04,16,-13,MEMPHIS GRIZZLIES,AWAY,NEW ORLEANS PELICANS,LOSS,1597,6,13,0,0,4,4,3,4,0,0,0,3,1,9.2
True,2018-04-06,12,14,MEMPHIS GRIZZLIES,HOME,SACRAMENTO KINGS,LOSS,1875,4,8,0,0,4,5,3,8,4,1,3,1,2,16.2
True,2018-04-08,8,-6,MEMPHIS GRIZZLIES,HOME,DETROIT PISTONS,WIN,1348,4,6,0,0,0,1,1,3,0,2,2,1,4,7.4
True,2018-04-09,14,-16,MEMPHIS GRIZZLIES,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1740,6,8,0,0,2,2,2,6,1,0,1,3,2,11.6
True,2018-04-11,12,-14,MEMPHIS GRIZZLIES,AWAY,OKLAHOMA CITY THUNDER,LOSS,1899,5,12,0,0,2,2,5,8,4,1,0,0,5,13.3
