active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2017-10-18,0,-3,SACRAMENTO KINGS,HOME,HOUSTON ROCKETS,LOSS,332,0,2,0,1,0,0,0,0,0,0,0,0,1,-1.8
True,2017-10-21,8,-4,SACRAMENTO KINGS,AWAY,DENVER NUGGETS,LOSS,867,2,5,2,2,2,2,0,1,1,0,0,0,1,5.9
True,2017-10-29,10,-3,SACRAMENTO KINGS,HOME,WASHINGTON WIZARDS,LOSS,1187,3,7,1,5,3,4,0,1,1,1,0,1,1,6.5
True,2017-10-31,2,4,SACRAMENTO KINGS,AWAY,INDIANA PACERS,LOSS,1166,1,6,0,1,0,0,0,3,1,1,0,1,3,-1.4
True,2017-11-01,6,2,SACRAMENTO KINGS,AWAY,BOSTON CELTICS,LOSS,495,2,3,1,1,1,1,0,0,0,0,0,0,1,4.3
True,2017-11-04,5,4,SACRAMENTO KINGS,AWAY,DETROIT PISTONS,LOSS,584,2,3,1,1,0,0,1,0,1,0,0,0,1,4.7
True,2017-11-09,8,7,SACRAMENTO KINGS,HOME,PHILADELPHIA 76ERS,WIN,447,3,3,2,2,0,0,0,1,0,1,0,1,1,7.0
True,2017-11-15,1,-21,SACRAMENTO KINGS,AWAY,ATLANTA HAWKS,LOSS,1222,0,7,0,2,1,2,1,1,2,1,0,0,2,-1.7
True,2017-11-18,1,5,SACRAMENTO KINGS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1021,0,2,0,1,1,2,0,1,0,1,0,0,3,-0.7
True,2017-11-20,4,2,SACRAMENTO KINGS,HOME,DENVER NUGGETS,LOSS,532,2,3,0,1,0,0,0,1,0,0,0,0,0,3.0
True,2017-11-22,0,-2,SACRAMENTO KINGS,HOME,LOS ANGELES LAKERS,WIN,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2017-11-28,2,5,SACRAMENTO KINGS,HOME,MILWAUKEE BUCKS,LOSS,503,0,1,0,1,2,2,0,0,0,1,0,0,0,2.3
True,2017-12-14,0,-4,SACRAMENTO KINGS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,331,0,1,0,1,0,0,0,1,0,1,0,1,0,-0.4
True,2017-12-19,3,17,SACRAMENTO KINGS,AWAY,PHILADELPHIA 76ERS,WIN,1142,1,4,0,1,1,1,1,3,1,0,0,0,3,1.7
True,2017-12-23,0,-6,SACRAMENTO KINGS,HOME,SAN ANTONIO SPURS,LOSS,568,0,2,0,1,0,0,0,0,0,0,0,1,3,-3.6
True,2017-12-26,10,-21,SACRAMENTO KINGS,AWAY,LOS ANGELES CLIPPERS,LOSS,1840,3,7,2,4,2,2,0,5,2,0,0,1,2,7.4
True,2017-12-27,4,-10,SACRAMENTO KINGS,HOME,CLEVELAND CAVALIERS,WIN,937,1,5,0,3,2,2,0,2,1,0,0,1,1,0.8
True,2017-12-31,7,6,SACRAMENTO KINGS,HOME,MEMPHIS GRIZZLIES,LOSS,1122,3,6,1,3,0,0,0,2,2,0,0,2,1,3.6
True,2018-01-02,0,0,SACRAMENTO KINGS,HOME,CHARLOTTE HORNETS,LOSS,381,0,1,0,0,0,0,1,1,0,0,0,0,0,0.3
True,2018-01-06,8,8,SACRAMENTO KINGS,HOME,DENVER NUGGETS,WIN,1167,3,7,2,4,0,0,0,2,1,1,0,0,2,5.8
True,2018-01-08,1,4,SACRAMENTO KINGS,HOME,SAN ANTONIO SPURS,LOSS,707,0,2,0,1,1,2,0,0,0,1,0,0,0,0.2
True,2018-01-09,0,-16,SACRAMENTO KINGS,AWAY,LOS ANGELES LAKERS,LOSS,303,0,2,0,0,0,0,0,0,0,0,0,0,0,-1.4
True,2018-01-17,1,-6,SACRAMENTO KINGS,HOME,UTAH JAZZ,LOSS,515,0,1,0,1,1,2,0,1,0,0,0,0,0,0.2
True,2018-01-23,4,2,SACRAMENTO KINGS,AWAY,ORLANDO MAGIC,WIN,911,2,6,0,2,0,0,1,2,0,1,1,0,1,3.2
True,2018-01-25,2,-14,SACRAMENTO KINGS,AWAY,MIAMI HEAT,WIN,766,1,2,0,0,0,0,0,0,0,0,0,1,0,0.0
True,2018-02-11,2,-12,TORONTO RAPTORS,AWAY,CHARLOTTE HORNETS,WIN,282,1,2,0,1,0,0,0,1,0,0,0,0,0,1.3
