active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2017-10-23,5,-3,WASHINGTON WIZARDS,AWAY,DENVER NUGGETS,WIN,289,2,2,1,1,0,0,0,1,0,0,0,0,0,4.7
True,2017-10-27,1,-9,WASHINGTON WIZARDS,AWAY,GOLDEN STATE WARRIORS,LOSS,332,0,1,0,1,1,2,0,0,0,0,0,0,0,-0.1
True,2017-10-29,3,2,WASHINGTON WIZARDS,AWAY,SACRAMENTO KINGS,WIN,1051,1,3,1,2,0,2,0,2,4,1,0,0,1,4.5
True,2017-11-01,6,6,WASHINGTON WIZARDS,HOME,PHOENIX SUNS,LOSS,1447,2,5,0,1,2,2,1,0,2,0,0,0,4,3.8
True,2017-11-05,0,0,WASHINGTON WIZARDS,AWAY,TORONTO RAPTORS,WIN,1334,0,4,0,1,0,0,3,1,3,1,0,2,4,-0.9
True,2017-11-09,0,-4,WASHINGTON WIZARDS,HOME,LOS ANGELES LAKERS,WIN,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2017-11-11,3,-4,WASHINGTON WIZARDS,HOME,ATLANTA HAWKS,WIN,233,1,2,0,0,1,2,0,0,1,0,0,0,1,1.9
True,2017-11-13,0,-3,WASHINGTON WIZARDS,HOME,SACRAMENTO KINGS,WIN,188,0,1,0,0,0,0,1,1,0,0,0,1,0,-0.7
True,2017-11-19,4,-5,WASHINGTON WIZARDS,AWAY,TORONTO RAPTORS,LOSS,735,2,4,0,0,0,0,0,3,2,2,0,3,1,2.9
True,2017-11-25,4,16,WASHINGTON WIZARDS,HOME,PORTLAND TRAIL BLAZERS,LOSS,881,2,3,0,0,0,0,1,2,4,0,0,0,2,6.0
True,2017-11-28,7,12,WASHINGTON WIZARDS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1295,3,6,1,2,0,0,1,4,6,1,0,0,0,11.1
True,2017-11-29,12,10,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,LOSS,1731,4,7,0,0,4,4,0,2,8,0,0,0,5,12.9
True,2017-12-01,17,14,WASHINGTON WIZARDS,HOME,DETROIT PISTONS,WIN,1381,5,6,2,2,5,5,2,2,4,1,0,0,0,20.6
True,2017-12-04,8,-32,WASHINGTON WIZARDS,AWAY,UTAH JAZZ,LOSS,1443,2,6,0,1,4,4,0,2,1,1,0,1,0,5.9
True,2017-12-05,7,6,WASHINGTON WIZARDS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1462,3,5,1,3,0,0,0,4,3,0,0,0,3,6.8
True,2017-12-07,2,9,WASHINGTON WIZARDS,AWAY,PHOENIX SUNS,WIN,1339,1,5,0,1,0,2,0,1,5,0,0,0,3,0.7
True,2017-12-09,11,-3,WASHINGTON WIZARDS,AWAY,LOS ANGELES CLIPPERS,LOSS,1629,5,8,1,3,0,2,3,3,6,0,0,1,1,12.4
True,2017-12-12,8,12,WASHINGTON WIZARDS,AWAY,BROOKLYN NETS,LOSS,1300,2,5,2,3,2,2,2,2,3,0,0,0,3,8.2
True,2017-12-13,3,-8,WASHINGTON WIZARDS,HOME,MEMPHIS GRIZZLIES,WIN,905,1,1,0,0,1,3,1,1,2,0,0,1,4,1.7
True,2017-12-15,11,1,WASHINGTON WIZARDS,HOME,LOS ANGELES CLIPPERS,WIN,1170,4,6,1,3,2,2,0,3,3,1,0,3,0,9.4
True,2017-12-17,2,-15,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,LOSS,1484,1,4,0,1,0,0,1,2,0,0,0,0,1,0.5
True,2017-12-19,6,17,WASHINGTON WIZARDS,HOME,NEW ORLEANS PELICANS,WIN,1308,3,4,0,0,0,0,1,6,2,2,0,0,1,9.9
True,2017-12-22,5,-9,WASHINGTON WIZARDS,AWAY,BROOKLYN NETS,LOSS,1246,2,7,1,3,0,2,0,2,1,0,0,0,3,0.2
