active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2018-10-17,0,-9,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,LOSS,1171,0,8,0,5,0,0,0,4,6,0,1,1,5,-2.5
True,2018-10-19,7,4,LOS ANGELES CLIPPERS,HOME,OKLAHOMA CITY THUNDER,WIN,1484,1,5,1,3,4,4,1,3,5,0,0,1,2,7.2
True,2018-10-21,4,-13,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,1410,1,4,0,3,2,2,0,4,2,4,0,2,3,5.0
True,2018-10-23,12,5,LOS ANGELES CLIPPERS,AWAY,NEW ORLEANS PELICANS,LOSS,1602,5,10,1,3,1,3,0,10,8,0,0,2,5,10.8
True,2018-10-26,3,7,LOS ANGELES CLIPPERS,AWAY,HOUSTON ROCKETS,WIN,1002,1,3,1,3,0,0,1,1,2,0,0,1,4,1.1
True,2018-10-28,11,14,LOS ANGELES CLIPPERS,HOME,WASHINGTON WIZARDS,WIN,1525,4,9,3,6,0,0,1,3,4,0,0,1,2,8.9
True,2018-10-30,4,-10,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1556,2,6,0,2,0,0,1,6,6,0,1,2,4,4.4
True,2018-11-01,4,0,LOS ANGELES CLIPPERS,AWAY,PHILADELPHIA 76ERS,LOSS,1823,1,7,0,4,2,4,2,2,4,2,0,2,6,1.1
True,2018-11-02,6,3,LOS ANGELES CLIPPERS,AWAY,ORLANDO MAGIC,WIN,1393,2,7,2,3,0,0,2,0,2,1,0,1,4,3.1
True,2018-11-05,10,7,LOS ANGELES CLIPPERS,HOME,MINNESOTA TIMBERWOLVES,WIN,2315,4,10,2,6,0,0,2,4,4,0,0,0,5,8.0
True,2018-11-08,4,-7,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2117,2,4,0,2,0,0,0,3,4,1,2,0,4,6.5
True,2018-11-10,21,-4,LOS ANGELES CLIPPERS,HOME,MILWAUKEE BUCKS,WIN,1824,7,11,5,8,2,2,1,4,3,0,0,1,3,17.9
True,2018-11-12,4,13,LOS ANGELES CLIPPERS,HOME,GOLDEN STATE WARRIORS,WIN,1411,2,5,0,0,0,0,1,1,5,1,0,0,2,6.0
