active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2018-10-17,0,-2,PHOENIX SUNS,HOME,DALLAS MAVERICKS,WIN,248,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7
True,2018-10-27,3,4,PHOENIX SUNS,AWAY,MEMPHIS GRIZZLIES,LOSS,271,1,3,1,2,0,0,0,0,1,0,0,1,1,0.6
True,2018-10-28,8,7,PHOENIX SUNS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1009,3,5,1,3,1,1,0,1,1,2,0,0,1,8.3
True,2018-10-31,3,-2,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,LOSS,720,1,7,1,6,0,0,0,2,2,2,0,2,4,-1.1
True,2018-11-19,0,-3,PHOENIX SUNS,AWAY,PHILADELPHIA 76ERS,LOSS,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2018-11-30,8,-2,PHOENIX SUNS,HOME,ORLANDO MAGIC,LOSS,957,3,6,2,5,0,0,0,1,0,1,0,4,3,1.1
True,2018-12-02,9,-6,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,913,3,6,3,5,0,0,0,3,0,0,0,0,1,6.5
True,2018-12-04,13,-7,PHOENIX SUNS,HOME,SACRAMENTO KINGS,LOSS,1241,4,9,4,9,1,1,1,1,2,1,1,1,1,11.0
True,2018-12-06,15,1,PHOENIX SUNS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1322,5,9,2,6,3,3,2,1,1,0,0,1,1,11.7
True,2018-12-07,18,-3,PHOENIX SUNS,HOME,MIAMI HEAT,LOSS,1912,6,13,6,10,0,0,0,4,0,0,0,0,2,11.7
True,2018-12-10,10,-11,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,LOSS,1914,4,9,2,6,0,0,0,1,0,2,0,2,2,4.8
True,2018-12-11,5,-11,PHOENIX SUNS,AWAY,SAN ANTONIO SPURS,LOSS,993,1,4,1,4,2,3,0,0,0,0,0,1,3,0.0
True,2018-12-13,0,8,PHOENIX SUNS,HOME,DALLAS MAVERICKS,WIN,681,0,3,0,2,0,0,0,1,1,1,0,0,1,-0.5
True,2018-12-17,0,-4,PHOENIX SUNS,AWAY,NEW YORK KNICKS,WIN,302,0,2,0,1,0,0,0,0,0,0,0,0,1,-1.8
True,2018-12-23,7,10,PHOENIX SUNS,AWAY,BROOKLYN NETS,LOSS,861,3,4,1,1,0,0,0,1,0,1,0,0,2,5.9
True,2018-12-31,3,3,PHOENIX SUNS,HOME,GOLDEN STATE WARRIORS,LOSS,297,1,2,1,2,0,0,1,0,0,0,0,1,0,1.7
True,2019-01-02,6,24,PHOENIX SUNS,HOME,PHILADELPHIA 76ERS,LOSS,912,2,6,2,6,0,0,0,2,0,3,0,0,3,5.0
True,2019-01-08,11,-6,PHOENIX SUNS,HOME,SACRAMENTO KINGS,WIN,978,4,9,3,6,0,0,0,1,1,0,0,1,1,5.9
True,2019-01-09,1,1,PHOENIX SUNS,AWAY,DALLAS MAVERICKS,LOSS,640,0,3,0,2,1,1,0,0,0,0,0,0,0,-1.1
True,2019-01-12,3,8,PHOENIX SUNS,HOME,DENVER NUGGETS,WIN,901,1,3,1,3,0,0,1,0,0,0,0,0,1,1.6
True,2019-01-15,6,-4,PHOENIX SUNS,AWAY,INDIANA PACERS,LOSS,289,2,5,2,4,0,0,0,0,0,0,0,0,0,3.3
True,2019-01-19,5,-6,PHOENIX SUNS,AWAY,CHARLOTTE HORNETS,LOSS,628,1,2,1,2,2,2,0,0,0,1,0,0,3,3.8
True,2019-01-22,7,-7,PHOENIX SUNS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1044,3,7,1,4,0,0,0,1,0,1,1,0,0,5.3
