active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2018-10-17,26,8,DETROIT PISTONS,HOME,BROOKLYN NETS,WIN,2057,8,17,1,1,9,11,2,6,6,0,0,1,0,22.9
True,2018-10-20,33,17,DETROIT PISTONS,AWAY,CHICAGO BULLS,WIN,2074,12,23,5,7,4,6,4,8,5,0,1,0,1,29.9
True,2018-10-23,50,4,DETROIT PISTONS,HOME,PHILADELPHIA 76ERS,WIN,2642,20,35,5,10,5,11,3,11,6,0,1,1,4,38.8
True,2018-10-25,26,6,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,WIN,2163,9,13,4,5,4,5,3,7,3,1,1,6,3,20.9
True,2018-10-27,7,-14,DETROIT PISTONS,HOME,BOSTON CELTICS,LOSS,1813,2,13,0,4,3,4,0,6,3,0,0,3,1,-1.2
True,2018-10-30,24,-13,DETROIT PISTONS,AWAY,BOSTON CELTICS,LOSS,2062,8,17,0,4,8,8,0,15,3,0,1,5,5,15.6
True,2018-10-31,25,-14,DETROIT PISTONS,AWAY,BROOKLYN NETS,LOSS,2500,8,18,4,8,5,7,2,7,4,2,1,6,5,15.8
True,2018-11-03,38,-9,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,2222,12,21,2,7,12,16,1,12,6,2,0,7,5,28.0
True,2018-11-05,24,15,DETROIT PISTONS,HOME,MIAMI HEAT,LOSS,2404,8,21,2,8,6,8,3,12,7,1,0,4,6,16.9
True,2018-11-07,20,-8,DETROIT PISTONS,AWAY,ORLANDO MAGIC,WIN,2108,7,17,1,5,5,6,1,4,3,1,0,3,3,11.3
True,2018-11-09,6,22,DETROIT PISTONS,AWAY,ATLANTA HAWKS,WIN,1557,2,10,1,5,1,3,0,9,9,2,0,1,2,8.2
True,2018-11-11,10,-19,DETROIT PISTONS,HOME,CHARLOTTE HORNETS,LOSS,1826,4,16,0,5,2,3,3,3,5,0,1,3,3,3.0
True,2018-11-14,30,6,DETROIT PISTONS,AWAY,TORONTO RAPTORS,WIN,2376,13,22,3,8,1,2,1,11,3,3,2,5,2,24.1
True,2018-11-19,21,20,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,WIN,2233,7,12,2,4,5,5,1,11,5,1,1,5,4,18.0
True,2018-11-21,37,-9,DETROIT PISTONS,AWAY,HOUSTON ROCKETS,LOSS,2287,9,21,6,9,13,15,5,6,4,0,0,9,5,22.2
True,2018-11-23,28,5,DETROIT PISTONS,HOME,HOUSTON ROCKETS,WIN,2606,9,18,2,6,8,12,2,7,4,0,0,4,3,18.5
True,2018-11-25,16,7,DETROIT PISTONS,HOME,PHOENIX SUNS,WIN,2118,7,16,2,8,0,0,0,3,11,0,0,5,2,10.4
True,2018-11-27,30,0,DETROIT PISTONS,HOME,NEW YORK KNICKS,WIN,2162,9,21,0,5,12,16,0,4,5,0,0,2,0,20.0
True,2018-11-30,20,21,DETROIT PISTONS,HOME,CHICAGO BULLS,WIN,1863,7,12,2,4,4,7,1,9,5,0,0,2,5,16.1
True,2018-12-01,26,3,DETROIT PISTONS,HOME,GOLDEN STATE WARRIORS,WIN,2050,9,22,2,9,6,6,0,6,5,0,0,2,1,17.1
