active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2018-10-17,15,14,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,1154,6,14,3,7,0,1,0,3,1,3,0,3,5,6.8
True,2018-10-19,2,-11,NEW YORK KNICKS,AWAY,BROOKLYN NETS,LOSS,799,1,3,0,1,0,0,0,1,1,0,0,0,1,0.9
True,2018-10-20,2,5,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,585,1,5,0,2,0,0,0,2,0,0,0,0,0,-0.5
True,2018-10-22,18,-14,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,LOSS,1800,8,16,2,5,0,0,0,4,3,2,0,2,2,12.5
True,2018-10-24,13,-3,NEW YORK KNICKS,AWAY,MIAMI HEAT,LOSS,1316,4,15,2,8,3,6,0,1,1,0,0,2,2,1.1
True,2018-10-26,6,-16,NEW YORK KNICKS,HOME,GOLDEN STATE WARRIORS,LOSS,1071,3,9,0,4,0,0,0,3,2,0,0,1,0,2.2
True,2018-10-29,11,3,NEW YORK KNICKS,HOME,BROOKLYN NETS,WIN,1213,5,12,1,2,0,0,0,4,1,0,0,1,2,4.7
True,2018-10-31,3,5,NEW YORK KNICKS,HOME,INDIANA PACERS,LOSS,750,1,5,0,3,1,2,1,6,0,0,0,2,1,-0.4
True,2018-11-02,11,-3,NEW YORK KNICKS,AWAY,DALLAS MAVERICKS,WIN,545,5,7,1,2,0,1,0,1,0,0,0,0,1,7.6
True,2018-11-04,10,11,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,LOSS,1508,4,9,2,5,0,0,0,8,3,3,0,1,1,11.4
True,2018-11-05,15,2,NEW YORK KNICKS,HOME,CHICAGO BULLS,LOSS,2160,6,18,1,5,2,3,2,4,2,1,1,3,3,5.9
True,2018-11-07,1,-13,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,WIN,699,0,2,0,1,1,2,0,2,0,0,0,0,2,-1.0
True,2018-11-10,13,-8,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,LOSS,1293,6,8,0,0,1,1,0,5,1,0,0,3,2,8.2
True,2018-11-11,12,-3,NEW YORK KNICKS,HOME,ORLANDO MAGIC,LOSS,1592,3,9,2,3,4,6,0,5,1,0,1,0,4,7.4
True,2018-11-14,6,-7,NEW YORK KNICKS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1320,3,9,0,2,0,0,1,5,2,0,1,3,1,1.8
True,2018-11-20,2,1,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1026,1,5,0,0,0,0,1,2,1,1,0,1,2,0.1
True,2018-11-21,3,-2,NEW YORK KNICKS,AWAY,BOSTON CELTICS,WIN,782,1,7,1,6,0,0,0,2,0,1,0,0,1,-0.3
True,2018-11-23,2,-3,NEW YORK KNICKS,HOME,NEW ORLEANS PELICANS,WIN,1120,1,4,0,2,0,0,2,1,1,1,0,1,2,1.2
True,2018-11-25,4,5,NEW YORK KNICKS,AWAY,MEMPHIS GRIZZLIES,WIN,1262,2,5,0,1,0,0,1,3,1,0,0,2,0,1.6
True,2018-11-27,5,2,NEW YORK KNICKS,AWAY,DETROIT PISTONS,LOSS,951,1,3,1,3,2,2,0,1,1,1,0,1,6,1.9
True,2018-11-28,17,-7,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,LOSS,1539,7,15,2,6,1,1,0,5,1,5,0,2,4,12.9
True,2018-12-01,2,-6,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,WIN,728,1,2,0,0,0,0,0,2,2,1,0,2,1,1.6
