active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2018-12-31,2,6,ORLANDO MAGIC,AWAY,CHARLOTTE HORNETS,LOSS,225,0,1,0,0,2,2,1,0,0,0,0,0,1,1.6
True,2019-02-09,0,1,ORLANDO MAGIC,AWAY,MILWAUKEE BUCKS,WIN,186,0,1,0,0,0,0,0,1,0,1,0,0,1,0.2
True,2019-02-10,0,-7,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,WIN,207,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
True,2019-02-12,2,1,ORLANDO MAGIC,AWAY,NEW ORLEANS PELICANS,WIN,241,0,1,0,0,2,2,1,2,0,0,0,0,0,2.6
True,2019-02-14,2,7,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,WIN,321,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0
True,2019-03-14,0,0,ORLANDO MAGIC,HOME,CLEVELAND CAVALIERS,WIN,173,0,0,0,0,0,0,0,1,0,0,1,0,1,0.6
True,2019-03-20,2,-10,ORLANDO MAGIC,HOME,NEW ORLEANS PELICANS,WIN,288,1,2,0,0,0,0,1,1,0,0,0,0,0,2.0
True,2019-03-25,2,-3,ORLANDO MAGIC,HOME,PHILADELPHIA 76ERS,WIN,208,1,1,0,0,0,0,0,0,1,0,0,0,0,2.4
True,2019-03-28,2,0,ORLANDO MAGIC,AWAY,DETROIT PISTONS,LOSS,135,1,1,0,0,0,0,0,1,0,0,1,0,0,2.7
True,2019-04-01,5,8,ORLANDO MAGIC,AWAY,TORONTO RAPTORS,LOSS,345,1,1,0,0,3,4,1,2,1,1,1,0,1,7.6
True,2019-04-05,4,4,ORLANDO MAGIC,HOME,ATLANTA HAWKS,WIN,285,2,3,0,0,0,0,0,0,0,0,0,0,0,2.7
True,2019-04-10,6,6,ORLANDO MAGIC,AWAY,CHARLOTTE HORNETS,WIN,1481,3,4,0,0,0,0,2,5,1,1,0,1,3,6.8
