active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2018-11-18,8,4,MIAMI HEAT,HOME,LOS ANGELES LAKERS,LOSS,915,2,8,2,4,2,2,0,0,2,0,0,0,5,2.6
True,2018-11-20,4,-3,MIAMI HEAT,HOME,BROOKLYN NETS,LOSS,1395,1,7,0,2,2,2,1,2,4,0,0,0,5,1.6
True,2018-11-23,3,0,MIAMI HEAT,AWAY,CHICAGO BULLS,WIN,1596,1,8,1,3,0,0,1,3,5,0,0,2,1,0.5
True,2018-11-25,6,-25,MIAMI HEAT,AWAY,TORONTO RAPTORS,LOSS,1143,2,7,0,2,2,2,0,0,3,0,0,0,1,3.6
True,2018-11-27,8,1,MIAMI HEAT,HOME,ATLANTA HAWKS,LOSS,1122,3,8,2,5,0,0,1,2,2,1,0,0,1,6.9
True,2018-11-30,8,-9,MIAMI HEAT,HOME,NEW ORLEANS PELICANS,WIN,1164,2,6,1,1,3,4,0,1,3,1,0,2,3,4.4
True,2018-12-02,9,-16,MIAMI HEAT,HOME,UTAH JAZZ,WIN,1126,4,10,1,2,0,0,1,1,2,1,1,2,2,4.9
True,2018-12-04,11,-9,MIAMI HEAT,HOME,ORLANDO MAGIC,LOSS,1218,5,8,1,3,0,0,1,3,1,1,0,3,3,6.5
True,2018-12-07,8,9,MIAMI HEAT,AWAY,PHOENIX SUNS,WIN,995,4,9,0,4,0,0,0,3,1,2,1,1,0,6.6
True,2018-12-08,18,-1,MIAMI HEAT,AWAY,LOS ANGELES CLIPPERS,WIN,1762,7,11,1,4,3,3,0,8,3,1,1,1,1,17.9
True,2018-12-10,0,-12,MIAMI HEAT,AWAY,LOS ANGELES LAKERS,LOSS,999,0,3,0,2,0,0,1,2,2,0,1,3,2,-2.5
True,2018-12-12,9,-18,MIAMI HEAT,AWAY,UTAH JAZZ,LOSS,1087,3,7,0,2,3,4,0,2,1,0,0,3,3,2.0
True,2018-12-14,12,-9,MIAMI HEAT,AWAY,MEMPHIS GRIZZLIES,WIN,1320,5,9,2,5,0,0,1,3,1,0,1,2,3,7.5
True,2018-12-16,3,5,MIAMI HEAT,AWAY,NEW ORLEANS PELICANS,WIN,944,1,4,0,2,1,3,0,5,2,0,0,0,4,1.1
True,2018-12-20,11,-2,MIAMI HEAT,HOME,HOUSTON ROCKETS,WIN,1084,5,11,0,1,1,4,0,5,3,1,0,0,2,7.9
True,2018-12-22,11,7,MIAMI HEAT,HOME,MILWAUKEE BUCKS,WIN,1820,5,9,1,4,0,0,1,5,4,2,1,0,0,14.4
True,2018-12-23,9,22,MIAMI HEAT,AWAY,ORLANDO MAGIC,WIN,1475,4,4,1,1,0,0,0,3,5,1,0,0,4,11.6
True,2018-12-26,12,6,MIAMI HEAT,HOME,TORONTO RAPTORS,LOSS,1757,5,9,2,4,0,0,1,5,1,2,0,1,0,11.6
True,2018-12-28,0,0,MIAMI HEAT,HOME,CLEVELAND CAVALIERS,WIN,490,0,1,0,0,0,0,0,1,0,0,0,0,1,-0.8
True,2019-01-02,11,-2,MIAMI HEAT,AWAY,CLEVELAND CAVALIERS,WIN,991,4,8,3,4,0,0,0,1,2,1,0,0,2,8.9
True,2019-01-04,17,14,MIAMI HEAT,HOME,WASHINGTON WIZARDS,WIN,1652,6,12,3,6,2,2,0,4,0,0,0,2,2,9.4
True,2019-01-06,7,-20,MIAMI HEAT,AWAY,ATLANTA HAWKS,LOSS,1125,3,7,1,3,0,0,2,2,3,0,0,0,3,6.2
True,2019-01-08,3,-3,MIAMI HEAT,HOME,DENVER NUGGETS,LOSS,976,1,4,1,3,0,0,0,3,0,0,0,2,0,-0.5
True,2019-01-10,12,-1,MIAMI HEAT,HOME,BOSTON CELTICS,WIN,1170,5,15,1,4,1,2,1,4,3,0,1,1,3,5.6
True,2019-01-12,7,-5,MIAMI HEAT,HOME,MEMPHIS GRIZZLIES,WIN,821,3,5,0,1,1,2,0,1,3,0,1,0,4,5.8
True,2019-01-15,0,-1,MIAMI HEAT,AWAY,MILWAUKEE BUCKS,LOSS,1283,0,0,0,0,0,0,0,6,0,0,2,1,1,1.8
True,2019-01-18,7,1,MIAMI HEAT,AWAY,DETROIT PISTONS,LOSS,1842,3,7,1,3,0,0,0,3,5,1,0,4,2,3.9
True,2019-01-19,10,15,MIAMI HEAT,AWAY,CHICAGO BULLS,WIN,1508,3,6,1,1,3,3,0,3,2,1,0,1,1,8.9
True,2019-01-21,8,-22,MIAMI HEAT,AWAY,BOSTON CELTICS,LOSS,1095,3,7,2,3,0,0,1,2,4,0,1,5,2,3.3
True,2019-01-23,3,-8,MIAMI HEAT,HOME,LOS ANGELES CLIPPERS,LOSS,1534,1,5,1,2,0,0,1,1,1,0,1,0,1,1.9
True,2019-01-25,5,15,MIAMI HEAT,AWAY,CLEVELAND CAVALIERS,WIN,1436,1,3,1,1,2,2,0,2,2,1,1,0,1,6.6
True,2019-01-27,13,18,MIAMI HEAT,AWAY,NEW YORK KNICKS,WIN,1799,6,13,1,6,0,0,0,2,3,2,0,2,2,8.2
True,2019-01-30,2,-7,MIAMI HEAT,HOME,CHICAGO BULLS,LOSS,1079,1,6,0,2,0,0,1,1,4,1,0,1,3,0.8
True,2019-02-01,8,-10,MIAMI HEAT,HOME,OKLAHOMA CITY THUNDER,LOSS,1226,3,7,1,3,1,1,0,3,4,0,0,2,0,6.0
