active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2018-10-17,14,8,MILWAUKEE BUCKS,AWAY,CHARLOTTE HORNETS,WIN,1287,4,7,2,5,4,4,0,3,1,1,0,2,3,10.1
True,2018-10-19,8,18,MILWAUKEE BUCKS,HOME,INDIANA PACERS,WIN,1336,3,10,2,8,0,0,1,2,2,0,1,0,4,4.0
True,2018-10-22,13,15,MILWAUKEE BUCKS,HOME,NEW YORK KNICKS,WIN,1841,5,10,2,5,1,1,1,3,3,0,3,0,0,13.8
True,2018-10-24,21,10,MILWAUKEE BUCKS,HOME,PHILADELPHIA 76ERS,WIN,1920,7,13,5,11,2,2,0,1,1,0,2,0,3,15.9
True,2018-10-26,11,24,MILWAUKEE BUCKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1423,4,9,3,7,0,0,0,3,1,0,1,1,2,6.8
True,2018-10-27,11,18,MILWAUKEE BUCKS,HOME,ORLANDO MAGIC,WIN,1245,4,5,2,3,1,1,0,1,0,0,2,3,2,7.0
True,2018-10-29,9,6,MILWAUKEE BUCKS,HOME,TORONTO RAPTORS,WIN,1719,3,10,1,5,2,2,1,3,1,0,1,1,2,4.4
True,2018-11-01,2,-5,MILWAUKEE BUCKS,AWAY,BOSTON CELTICS,LOSS,1409,1,4,0,3,0,0,0,5,0,1,2,2,1,1.1
True,2018-11-04,8,17,MILWAUKEE BUCKS,HOME,SACRAMENTO KINGS,WIN,1171,2,9,2,9,2,2,0,2,0,0,4,0,3,4.7
True,2018-11-06,22,-12,MILWAUKEE BUCKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1788,8,14,6,10,0,0,0,4,1,0,1,0,4,16.4
True,2018-11-08,2,5,MILWAUKEE BUCKS,AWAY,GOLDEN STATE WARRIORS,WIN,1290,1,5,0,2,0,0,1,3,2,1,1,0,0,3.6
True,2018-11-10,20,10,MILWAUKEE BUCKS,AWAY,LOS ANGELES CLIPPERS,LOSS,2230,6,12,6,12,2,2,0,4,2,2,3,0,1,20.3
True,2018-11-11,28,10,MILWAUKEE BUCKS,AWAY,DENVER NUGGETS,WIN,2192,10,17,8,13,0,0,1,3,1,1,2,1,3,22.6
