active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2018-10-16,7,3,OKLAHOMA CITY THUNDER,AWAY,GOLDEN STATE WARRIORS,LOSS,1133,2,9,1,4,2,3,3,2,0,1,1,1,0,4.5
True,2018-10-19,5,-9,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES CLIPPERS,LOSS,1167,2,4,1,2,0,0,1,1,0,0,1,0,1,4.3
True,2018-10-21,4,-12,OKLAHOMA CITY THUNDER,HOME,SACRAMENTO KINGS,LOSS,754,1,6,1,6,1,1,0,2,0,1,1,0,0,2.5
True,2018-10-25,7,-1,OKLAHOMA CITY THUNDER,HOME,BOSTON CELTICS,LOSS,1044,3,5,1,2,0,0,2,5,0,0,0,1,3,5.4
True,2018-10-28,17,-8,OKLAHOMA CITY THUNDER,HOME,PHOENIX SUNS,WIN,1784,6,10,2,5,3,4,1,3,0,0,0,0,3,12.4
True,2018-10-30,8,1,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES CLIPPERS,WIN,1229,3,3,2,2,0,0,0,2,0,1,0,1,1,7.3
True,2018-11-01,0,2,OKLAHOMA CITY THUNDER,AWAY,CHARLOTTE HORNETS,WIN,435,0,3,0,3,0,0,0,3,0,0,0,0,0,-1.2
True,2018-11-02,8,19,OKLAHOMA CITY THUNDER,AWAY,WASHINGTON WIZARDS,WIN,1067,2,8,2,5,2,2,3,2,1,0,1,0,2,6.5
True,2018-11-05,10,-3,OKLAHOMA CITY THUNDER,HOME,NEW ORLEANS PELICANS,WIN,1003,3,4,3,3,1,2,0,2,1,0,0,0,3,8.1
True,2018-11-07,3,0,OKLAHOMA CITY THUNDER,AWAY,CLEVELAND CAVALIERS,WIN,1013,1,5,1,3,0,2,0,4,1,0,0,0,1,0.6
True,2018-11-08,3,-4,OKLAHOMA CITY THUNDER,HOME,HOUSTON ROCKETS,WIN,774,1,3,1,3,0,0,0,2,0,0,0,1,1,0.5
True,2018-11-10,5,-17,OKLAHOMA CITY THUNDER,AWAY,DALLAS MAVERICKS,LOSS,916,2,6,1,4,0,0,1,2,0,0,0,1,1,1.5
True,2018-11-12,5,-2,OKLAHOMA CITY THUNDER,HOME,PHOENIX SUNS,WIN,927,2,3,1,2,0,0,1,0,1,0,0,0,0,5.1
True,2018-11-14,5,22,OKLAHOMA CITY THUNDER,HOME,NEW YORK KNICKS,WIN,1097,2,4,0,0,1,2,2,0,1,1,0,1,0,4.7
True,2018-11-17,4,-4,OKLAHOMA CITY THUNDER,AWAY,PHOENIX SUNS,WIN,935,1,5,1,3,1,2,1,2,0,0,0,0,0,1.8
True,2018-11-19,0,1,OKLAHOMA CITY THUNDER,AWAY,SACRAMENTO KINGS,LOSS,909,0,5,0,5,0,0,0,1,2,0,0,0,0,-1.8
