active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2018-10-17,7,2,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,LOSS,499,3,4,1,2,0,0,1,2,0,1,1,0,1,8.0
True,2018-10-21,17,15,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,WIN,1425,6,8,4,5,1,2,0,1,1,0,0,2,4,10.8
True,2018-10-24,4,-2,ATLANTA HAWKS,HOME,DALLAS MAVERICKS,WIN,939,2,6,0,1,0,0,3,2,0,0,0,1,3,1.1
True,2018-10-27,2,-11,ATLANTA HAWKS,HOME,CHICAGO BULLS,LOSS,881,0,5,0,3,2,2,4,4,4,0,0,1,0,4.3
True,2018-10-29,11,-12,ATLANTA HAWKS,AWAY,PHILADELPHIA 76ERS,LOSS,1395,4,11,1,4,2,4,4,2,0,1,0,0,1,8.1
True,2018-10-30,3,-14,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,LOSS,1223,1,3,1,2,0,0,0,4,0,1,0,2,3,0.3
True,2018-11-01,2,-10,ATLANTA HAWKS,HOME,SACRAMENTO KINGS,LOSS,1227,1,3,0,1,0,0,1,1,3,0,1,0,1,3.7
True,2018-11-03,7,5,ATLANTA HAWKS,HOME,MIAMI HEAT,WIN,1214,3,4,1,1,0,1,1,2,1,1,1,0,1,8.3
True,2018-11-06,2,-4,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,LOSS,1005,1,6,0,3,0,0,2,2,1,0,0,0,1,0.5
True,2018-11-07,18,2,ATLANTA HAWKS,HOME,NEW YORK KNICKS,LOSS,1708,6,11,3,5,3,3,4,6,4,1,3,0,1,22.8
True,2018-11-09,14,-16,ATLANTA HAWKS,HOME,DETROIT PISTONS,LOSS,1601,5,10,2,5,2,2,3,7,0,1,0,1,1,12.8
True,2018-11-11,2,1,ATLANTA HAWKS,AWAY,LOS ANGELES LAKERS,LOSS,1676,1,7,0,3,0,0,2,7,1,0,1,1,4,-0.2
True,2018-11-13,0,-9,ATLANTA HAWKS,AWAY,GOLDEN STATE WARRIORS,LOSS,854,0,3,0,2,0,0,1,2,0,0,0,1,0,-1.8
True,2018-11-15,10,-26,ATLANTA HAWKS,AWAY,DENVER NUGGETS,LOSS,1600,4,15,0,7,2,2,3,7,3,3,1,1,3,8.9
True,2018-11-17,2,-13,ATLANTA HAWKS,AWAY,INDIANA PACERS,LOSS,743,1,3,0,0,0,2,1,1,0,2,0,0,2,1.7
True,2018-11-19,7,2,ATLANTA HAWKS,HOME,LOS ANGELES CLIPPERS,LOSS,848,3,6,1,3,0,0,0,1,1,0,0,0,2,4.2
True,2018-11-23,0,-21,ATLANTA HAWKS,HOME,BOSTON CELTICS,LOSS,466,0,1,0,1,0,0,1,0,0,0,0,1,0,-1.0
True,2018-11-25,5,-6,ATLANTA HAWKS,HOME,CHARLOTTE HORNETS,WIN,807,2,4,1,2,0,0,2,2,2,0,3,0,1,8.1
True,2018-11-27,14,-4,ATLANTA HAWKS,AWAY,MIAMI HEAT,WIN,1220,4,7,2,3,4,4,4,0,0,4,0,1,1,16.1
