active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2018-10-18,24,18,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES LAKERS,WIN,1632,7,11,5,8,5,5,0,2,2,1,0,0,1,21.7
True,2018-10-20,3,-5,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,1239,1,5,1,3,0,0,0,1,3,1,0,0,0,3.3
True,2018-10-22,15,0,PORTLAND TRAIL BLAZERS,HOME,WASHINGTON WIZARDS,LOSS,1818,5,10,3,6,2,2,2,6,3,0,1,2,3,12.8
True,2018-10-25,4,-4,PORTLAND TRAIL BLAZERS,AWAY,ORLANDO MAGIC,WIN,1031,2,6,0,2,0,0,0,2,1,0,0,1,2,0.1
True,2018-10-27,5,-8,PORTLAND TRAIL BLAZERS,AWAY,MIAMI HEAT,LOSS,802,2,4,0,0,1,1,1,1,0,0,0,1,1,2.6
True,2018-10-29,10,6,PORTLAND TRAIL BLAZERS,AWAY,INDIANA PACERS,WIN,1449,3,6,2,3,2,2,0,3,5,0,0,2,0,9.4
True,2018-10-30,10,0,PORTLAND TRAIL BLAZERS,AWAY,HOUSTON ROCKETS,WIN,1422,3,10,2,6,2,2,1,2,0,0,0,1,1,4.1
True,2018-11-01,10,-1,PORTLAND TRAIL BLAZERS,HOME,NEW ORLEANS PELICANS,WIN,1252,4,6,2,3,0,0,0,0,3,1,0,0,1,10.1
True,2018-11-03,3,-23,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES LAKERS,LOSS,944,1,5,1,4,0,0,0,0,4,0,0,1,1,1.3
True,2018-11-04,5,12,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,560,1,4,1,3,2,2,1,3,0,1,0,1,0,4.2
True,2018-11-06,2,2,PORTLAND TRAIL BLAZERS,HOME,MILWAUKEE BUCKS,WIN,794,1,4,0,2,0,0,0,2,2,0,0,1,0,0.6
True,2018-11-08,8,3,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES CLIPPERS,WIN,1074,3,8,1,5,1,2,0,3,2,0,1,1,3,4.0
True,2018-11-11,3,-7,PORTLAND TRAIL BLAZERS,HOME,BOSTON CELTICS,WIN,783,1,4,1,3,0,0,0,1,0,1,0,1,0,0.9
True,2018-11-14,0,-6,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,LOSS,868,0,2,0,0,0,0,0,1,2,1,0,1,1,-0.1
True,2018-11-16,8,-19,PORTLAND TRAIL BLAZERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,923,4,5,0,1,0,0,0,2,1,0,0,2,1,5.0
True,2018-11-18,5,-13,PORTLAND TRAIL BLAZERS,AWAY,WASHINGTON WIZARDS,WIN,801,2,4,1,2,0,0,0,1,1,0,0,2,0,2.0
True,2018-11-20,9,1,PORTLAND TRAIL BLAZERS,AWAY,NEW YORK KNICKS,WIN,1061,3,6,2,4,1,1,1,0,3,1,0,0,1,9.4
True,2018-11-21,5,-19,PORTLAND TRAIL BLAZERS,AWAY,MILWAUKEE BUCKS,LOSS,983,2,8,1,6,0,0,0,2,1,0,0,1,1,0.1
True,2018-11-23,5,-11,PORTLAND TRAIL BLAZERS,AWAY,GOLDEN STATE WARRIORS,LOSS,586,2,5,1,1,0,0,0,0,0,0,1,1,0,2.0
True,2018-11-25,4,9,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES CLIPPERS,LOSS,419,2,3,0,1,0,0,0,0,2,0,0,0,0,4.1
True,2018-11-28,18,-17,PORTLAND TRAIL BLAZERS,HOME,ORLANDO MAGIC,WIN,1163,5,9,5,8,3,3,0,1,2,0,0,3,1,12.0
True,2018-11-30,3,1,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,LOSS,571,1,3,0,1,1,1,0,1,0,0,0,1,1,0.2
True,2018-12-02,3,-21,PORTLAND TRAIL BLAZERS,AWAY,SAN ANTONIO SPURS,LOSS,1088,1,3,1,3,0,0,0,0,0,0,0,1,2,-0.5
True,2018-12-04,6,0,PORTLAND TRAIL BLAZERS,AWAY,DALLAS MAVERICKS,LOSS,899,3,7,0,3,0,0,1,2,1,0,0,0,1,3.9
True,2018-12-06,9,-8,PORTLAND TRAIL BLAZERS,HOME,PHOENIX SUNS,WIN,1658,3,7,0,4,3,4,1,1,3,1,0,3,2,5.2
True,2018-12-08,4,-7,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,709,1,5,1,3,1,2,1,1,1,0,0,1,0,1.2
True,2018-12-11,0,-11,PORTLAND TRAIL BLAZERS,AWAY,HOUSTON ROCKETS,LOSS,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2018-12-12,7,-8,PORTLAND TRAIL BLAZERS,AWAY,MEMPHIS GRIZZLIES,LOSS,1246,3,6,1,2,0,0,0,2,2,1,1,1,1,6.3
