active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2019-01-25,1,6,DENVER NUGGETS,HOME,PHOENIX SUNS,WIN,233,0,0,0,0,1,2,0,3,1,1,0,1,0,2.2
True,2019-02-06,0,0,DENVER NUGGETS,AWAY,BROOKLYN NETS,LOSS,479,0,3,0,0,0,0,2,5,0,1,1,0,0,2.5
True,2019-02-11,0,-2,DENVER NUGGETS,HOME,MIAMI HEAT,WIN,113,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2019-02-22,0,-3,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,WIN,58,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7
True,2019-02-24,2,2,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,WIN,163,1,1,0,0,0,2,0,0,0,0,0,0,0,0.9
True,2019-02-26,0,-2,DENVER NUGGETS,HOME,OKLAHOMA CITY THUNDER,WIN,23,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2019-03-06,0,-2,DENVER NUGGETS,AWAY,LOS ANGELES LAKERS,WIN,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2019-03-08,0,1,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,LOSS,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2019-03-12,3,1,DENVER NUGGETS,HOME,MINNESOTA TIMBERWOLVES,WIN,213,1,2,0,1,1,1,0,1,1,0,0,0,1,2.6
True,2019-03-18,0,0,DENVER NUGGETS,AWAY,BOSTON CELTICS,WIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2019-03-22,0,-2,DENVER NUGGETS,AWAY,NEW YORK KNICKS,WIN,191,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2019-03-24,4,-9,DENVER NUGGETS,AWAY,INDIANA PACERS,LOSS,561,2,3,0,0,0,0,2,0,0,1,0,2,1,2.7
True,2019-03-28,0,-3,DENVER NUGGETS,AWAY,HOUSTON ROCKETS,LOSS,305,0,2,0,0,0,0,1,2,0,0,0,0,0,-0.1
True,2019-04-02,10,16,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,LOSS,442,4,4,0,0,2,3,0,3,0,1,0,0,2,9.5
True,2019-04-03,0,-1,DENVER NUGGETS,HOME,SAN ANTONIO SPURS,WIN,286,0,1,0,0,0,0,0,1,1,0,0,0,0,0.3
True,2019-04-07,0,2,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,740,0,1,0,0,0,0,1,0,0,1,0,4,3,-4.2
True,2019-04-09,4,6,DENVER NUGGETS,AWAY,UTAH JAZZ,LOSS,168,1,1,0,0,2,2,0,0,0,1,0,0,0,4.7
