active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2019-10-23,6,-11,CHICAGO BULLS,AWAY,CHARLOTTE HORNETS,LOSS,656,2,3,2,2,0,0,3,0,1,1,0,0,1,8.1
True,2019-10-25,0,-2,CHICAGO BULLS,AWAY,MEMPHIS GRIZZLIES,WIN,881,0,1,0,0,0,0,0,3,0,0,0,0,0,0.2
True,2019-10-26,6,1,CHICAGO BULLS,HOME,TORONTO RAPTORS,LOSS,1065,2,2,1,1,1,1,1,1,4,1,0,0,2,9.4
True,2019-10-28,5,-6,CHICAGO BULLS,AWAY,NEW YORK KNICKS,LOSS,955,2,3,1,2,0,0,0,3,2,0,0,1,2,4.2
True,2019-10-30,2,0,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,966,0,2,0,2,2,2,0,0,1,0,0,0,1,0.9
True,2019-11-01,6,-4,CHICAGO BULLS,HOME,DETROIT PISTONS,WIN,946,2,6,2,4,0,0,0,0,3,0,0,0,1,4.3
True,2019-11-03,6,-4,CHICAGO BULLS,AWAY,INDIANA PACERS,LOSS,1044,1,4,1,2,3,4,0,2,1,1,1,0,6,3.8
True,2019-11-05,0,5,CHICAGO BULLS,HOME,LOS ANGELES LAKERS,LOSS,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2019-11-06,4,0,CHICAGO BULLS,AWAY,ATLANTA HAWKS,WIN,1100,1,1,0,0,2,2,0,1,1,1,0,0,1,5.3
True,2019-11-09,2,-3,CHICAGO BULLS,HOME,HOUSTON ROCKETS,LOSS,954,1,4,0,1,0,0,1,3,1,1,0,2,3,-0.3
True,2019-11-12,5,23,CHICAGO BULLS,HOME,NEW YORK KNICKS,WIN,1270,1,3,0,1,3,4,0,3,8,2,0,1,3,9.2
True,2019-11-14,7,-5,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,LOSS,1422,2,6,1,3,2,4,0,1,3,0,0,0,4,3.6
True,2019-11-16,6,1,CHICAGO BULLS,HOME,BROOKLYN NETS,LOSS,1089,2,6,2,5,0,0,0,0,2,0,0,1,3,1.8
True,2019-11-18,12,3,CHICAGO BULLS,HOME,MILWAUKEE BUCKS,LOSS,1635,4,7,4,5,0,0,1,2,2,1,0,2,2,9.6
True,2019-11-20,9,7,CHICAGO BULLS,HOME,DETROIT PISTONS,WIN,1257,3,6,2,4,1,2,2,1,2,0,0,1,2,6.9
True,2019-11-22,10,5,CHICAGO BULLS,HOME,MIAMI HEAT,LOSS,1479,4,7,2,5,0,0,1,1,0,0,0,0,3,6.5
True,2019-11-23,0,-1,CHICAGO BULLS,AWAY,CHARLOTTE HORNETS,WIN,1443,0,4,0,4,0,0,1,1,2,2,0,0,2,0.8
True,2019-11-25,0,-10,CHICAGO BULLS,HOME,PORTLAND TRAIL BLAZERS,LOSS,511,0,2,0,1,0,0,0,1,1,0,0,0,1,-0.8
True,2019-11-27,2,-19,CHICAGO BULLS,AWAY,GOLDEN STATE WARRIORS,LOSS,784,1,3,0,0,0,0,0,1,1,1,0,2,1,-0.1
True,2019-11-29,3,1,CHICAGO BULLS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,906,1,4,1,2,0,0,0,0,2,0,0,2,4,-1.6
True,2019-12-02,4,10,CHICAGO BULLS,AWAY,SACRAMENTO KINGS,WIN,721,1,2,1,2,1,1,0,0,1,1,0,3,2,0.9
True,2019-12-04,3,7,CHICAGO BULLS,HOME,MEMPHIS GRIZZLIES,WIN,886,1,4,1,3,0,0,1,3,1,0,1,1,0,2.6
True,2019-12-06,3,-4,CHICAGO BULLS,HOME,GOLDEN STATE WARRIORS,LOSS,941,1,4,1,4,0,0,2,0,1,0,0,1,3,0.5
True,2019-12-08,0,-1,CHICAGO BULLS,AWAY,MIAMI HEAT,LOSS,411,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0
True,2019-12-09,0,-4,CHICAGO BULLS,HOME,TORONTO RAPTORS,LOSS,218,0,3,0,2,0,0,0,0,0,0,0,0,0,-2.1
True,2019-12-11,0,8,CHICAGO BULLS,HOME,ATLANTA HAWKS,WIN,1001,0,1,0,0,0,0,0,2,0,0,0,0,3,-1.3
True,2019-12-13,12,-2,CHICAGO BULLS,HOME,CHARLOTTE HORNETS,LOSS,1276,4,7,2,4,2,2,1,2,1,1,0,0,2,10.9
True,2019-12-14,0,-7,CHICAGO BULLS,HOME,LOS ANGELES CLIPPERS,WIN,714,0,3,0,1,0,0,0,0,0,0,0,0,1,-2.5
True,2019-12-16,12,-6,CHICAGO BULLS,AWAY,OKLAHOMA CITY THUNDER,LOSS,671,5,6,2,2,0,0,0,0,2,1,0,0,1,11.8
True,2019-12-18,2,-2,CHICAGO BULLS,AWAY,WASHINGTON WIZARDS,WIN,844,1,3,0,2,0,0,0,4,3,0,0,1,0,2.6
True,2019-12-21,3,-4,CHICAGO BULLS,AWAY,DETROIT PISTONS,WIN,358,1,1,1,1,0,0,0,1,2,0,0,0,0,4.4
True,2019-12-23,4,1,CHICAGO BULLS,AWAY,ORLANDO MAGIC,LOSS,986,1,3,1,1,1,2,0,5,1,0,0,0,0,4.1
True,2019-12-28,0,9,CHICAGO BULLS,HOME,ATLANTA HAWKS,WIN,366,0,3,0,2,0,0,0,0,0,0,0,0,0,-2.1
True,2019-12-30,2,-8,CHICAGO BULLS,HOME,MILWAUKEE BUCKS,LOSS,821,1,2,0,0,0,0,0,3,2,0,0,0,1,2.9
True,2020-01-08,5,-9,CHICAGO BULLS,AWAY,NEW ORLEANS PELICANS,LOSS,785,2,4,1,2,0,0,0,2,1,0,0,1,2,2.5
True,2020-01-11,6,3,CHICAGO BULLS,AWAY,DETROIT PISTONS,WIN,1072,2,2,2,2,0,0,0,0,3,2,0,1,1,8.1
True,2020-01-13,0,-7,CHICAGO BULLS,AWAY,BOSTON CELTICS,LOSS,805,0,2,0,2,0,0,0,3,0,0,0,0,2,-1.3
True,2020-01-15,0,-8,CHICAGO BULLS,HOME,WASHINGTON WIZARDS,WIN,1037,0,2,0,2,0,0,0,2,2,0,0,1,3,-1.6
True,2020-01-17,5,7,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,LOSS,834,2,6,1,3,0,0,0,3,1,0,0,1,2,1.4
True,2020-01-18,2,2,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,WIN,297,1,3,0,1,0,0,0,1,0,1,0,0,0,1.6
True,2020-01-20,4,1,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,LOSS,720,2,5,0,3,0,0,0,0,1,1,0,1,3,0.8
True,2020-01-22,1,4,CHICAGO BULLS,HOME,MINNESOTA TIMBERWOLVES,WIN,880,0,2,0,0,1,1,0,1,4,0,0,0,2,1.9
True,2020-01-24,3,-6,CHICAGO BULLS,HOME,SACRAMENTO KINGS,LOSS,773,1,2,1,2,0,0,0,2,1,0,0,0,2,2.5
True,2020-01-25,9,-6,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,WIN,731,3,5,3,5,0,1,0,0,0,0,0,0,2,5.5
True,2020-01-27,0,4,CHICAGO BULLS,HOME,SAN ANTONIO SPURS,WIN,297,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2020-01-29,2,-1,CHICAGO BULLS,AWAY,INDIANA PACERS,LOSS,818,1,2,0,1,0,0,0,2,3,0,1,1,1,3.0
True,2020-01-31,6,-10,CHICAGO BULLS,AWAY,BROOKLYN NETS,LOSS,1023,2,3,2,3,0,0,0,2,2,0,0,0,3,5.5
True,2020-02-02,12,-18,CHICAGO BULLS,AWAY,TORONTO RAPTORS,LOSS,1457,4,10,3,8,1,2,1,0,2,0,0,0,0,8.3
