active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2019-10-23,5,19,PHOENIX SUNS,HOME,SACRAMENTO KINGS,WIN,1392,1,4,0,2,3,4,0,3,1,3,0,0,2,6.0
True,2019-10-25,2,6,PHOENIX SUNS,AWAY,DENVER NUGGETS,LOSS,754,1,2,0,0,0,0,0,4,0,0,0,0,0,2.2
True,2019-10-26,7,-2,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,WIN,1533,3,5,1,3,0,1,1,3,0,0,0,1,4,3.3
True,2019-10-28,0,8,PHOENIX SUNS,HOME,UTAH JAZZ,LOSS,931,0,1,0,1,0,0,0,1,1,1,0,0,0,1.3
True,2019-10-30,3,-5,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,WIN,926,1,3,0,1,1,1,0,1,2,2,0,1,0,4.0
True,2019-11-02,10,-7,PHOENIX SUNS,AWAY,MEMPHIS GRIZZLIES,WIN,1162,5,6,0,0,0,0,0,6,2,4,0,2,3,11.8
True,2019-11-04,6,2,PHOENIX SUNS,HOME,PHILADELPHIA 76ERS,WIN,1517,2,3,0,0,2,2,0,3,1,2,0,1,3,6.1
True,2019-11-07,5,-28,PHOENIX SUNS,HOME,MIAMI HEAT,LOSS,1210,2,8,1,4,0,0,3,4,0,0,0,0,2,2.7
True,2019-11-10,5,-8,PHOENIX SUNS,HOME,BROOKLYN NETS,WIN,1584,2,7,1,3,0,0,1,5,2,2,1,1,0,6.2
True,2019-11-12,3,2,PHOENIX SUNS,HOME,LOS ANGELES LAKERS,LOSS,891,1,3,0,1,1,2,0,1,1,1,3,0,1,4.6
True,2019-11-14,3,8,PHOENIX SUNS,HOME,ATLANTA HAWKS,WIN,862,1,4,1,2,0,2,1,4,2,1,0,0,5,2.1
True,2019-11-18,6,-1,PHOENIX SUNS,HOME,BOSTON CELTICS,LOSS,889,3,4,0,1,0,0,1,1,0,1,0,0,1,6.0
True,2019-11-19,20,12,PHOENIX SUNS,AWAY,SACRAMENTO KINGS,LOSS,1549,6,9,1,3,7,7,2,3,0,2,0,0,2,19.6
True,2019-11-21,12,10,PHOENIX SUNS,HOME,NEW ORLEANS PELICANS,LOSS,2147,3,7,0,2,6,6,3,3,3,3,0,2,4,12.8
True,2019-11-23,4,11,PHOENIX SUNS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1366,1,5,0,1,2,2,1,4,2,2,0,0,1,5.8
True,2019-11-24,4,5,PHOENIX SUNS,AWAY,DENVER NUGGETS,LOSS,973,1,3,0,2,2,2,0,1,1,1,0,0,0,4.3
True,2019-11-27,0,-5,PHOENIX SUNS,HOME,WASHINGTON WIZARDS,LOSS,701,0,2,0,0,0,0,0,1,0,0,1,0,0,-0.4
True,2019-11-29,11,-10,PHOENIX SUNS,HOME,DALLAS MAVERICKS,LOSS,973,5,8,1,2,0,0,1,0,0,0,0,2,1,5.7
True,2019-12-02,12,-1,PHOENIX SUNS,AWAY,CHARLOTTE HORNETS,WIN,1815,5,12,1,3,1,2,3,5,2,2,1,0,5,10.9
True,2019-12-04,15,-14,PHOENIX SUNS,AWAY,ORLANDO MAGIC,LOSS,1505,5,8,2,4,3,5,0,1,1,0,0,1,2,9.8
True,2019-12-05,11,-2,PHOENIX SUNS,AWAY,NEW ORLEANS PELICANS,WIN,1292,5,6,1,1,0,0,0,1,0,1,0,3,2,6.3
True,2019-12-07,14,1,PHOENIX SUNS,AWAY,HOUSTON ROCKETS,LOSS,1193,5,5,1,1,3,4,0,5,1,1,0,3,2,11.5
True,2019-12-09,9,11,PHOENIX SUNS,HOME,MINNESOTA TIMBERWOLVES,WIN,1946,3,7,1,2,2,2,4,4,4,3,2,2,3,13.3
True,2019-12-11,3,-10,PHOENIX SUNS,HOME,MEMPHIS GRIZZLIES,LOSS,1245,1,2,0,1,1,2,0,3,0,0,0,1,1,1.1
True,2019-12-14,5,-1,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,LOSS,1916,1,3,0,1,3,4,1,9,4,2,0,1,3,8.9
True,2019-12-16,8,6,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1856,2,7,0,2,4,4,3,7,3,2,1,0,2,12.1
True,2019-12-17,5,-7,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,LOSS,1568,1,3,1,3,2,2,0,2,3,1,1,3,1,4.3
True,2019-12-20,2,4,PHOENIX SUNS,AWAY,OKLAHOMA CITY THUNDER,LOSS,999,1,4,0,1,0,0,1,1,0,0,1,1,2,-0.5
True,2019-12-21,2,-7,PHOENIX SUNS,HOME,HOUSTON ROCKETS,LOSS,720,1,1,0,0,0,0,0,3,1,1,0,0,3,3.1
