active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2019-10-28,0,-4,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,134,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2019-11-01,14,34,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,WIN,1042,5,11,4,7,0,0,1,2,3,2,1,0,1,14.0
True,2019-11-02,8,3,MILWAUKEE BUCKS,HOME,TORONTO RAPTORS,WIN,1289,3,8,2,5,0,0,1,3,1,1,0,0,3,5.7
True,2019-11-04,17,12,MILWAUKEE BUCKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1215,6,11,3,4,2,4,1,6,1,1,1,2,0,13.8
True,2019-11-06,0,5,MILWAUKEE BUCKS,AWAY,LOS ANGELES CLIPPERS,WIN,818,0,2,0,2,0,0,1,1,1,0,0,2,4,-3.3
True,2019-11-08,0,-3,MILWAUKEE BUCKS,AWAY,UTAH JAZZ,LOSS,821,0,4,0,2,0,0,1,2,0,1,0,1,3,-2.7
True,2019-11-10,2,-2,MILWAUKEE BUCKS,AWAY,OKLAHOMA CITY THUNDER,WIN,530,1,3,0,0,0,0,0,1,1,3,0,1,1,2.9
True,2019-11-14,4,5,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,WIN,1442,2,5,0,2,0,0,1,4,2,1,0,3,4,1.0
True,2019-11-16,14,16,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,WIN,1444,6,9,2,5,0,0,1,3,1,2,0,1,1,13.0
True,2019-11-18,15,7,MILWAUKEE BUCKS,AWAY,CHICAGO BULLS,WIN,1723,5,9,3,6,2,2,0,4,4,3,0,0,1,17.3
True,2019-11-20,11,-1,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,WIN,1474,4,9,2,5,1,2,2,3,3,2,0,2,2,9.5
True,2019-11-21,16,5,MILWAUKEE BUCKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1637,7,15,2,6,0,0,2,4,1,1,0,0,2,11.8
True,2019-11-23,6,17,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,1435,3,9,0,3,0,0,1,6,2,2,0,0,0,6.8
True,2019-11-25,6,7,MILWAUKEE BUCKS,HOME,UTAH JAZZ,WIN,2008,2,10,0,5,2,2,2,3,2,2,0,2,2,2.7
True,2019-11-27,12,10,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,WIN,1673,5,10,0,3,2,2,1,5,2,0,0,0,0,10.6
True,2019-11-29,11,10,MILWAUKEE BUCKS,AWAY,CLEVELAND CAVALIERS,WIN,1580,3,8,3,6,2,4,1,4,2,2,0,1,4,8.5
True,2019-11-30,10,24,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,WIN,1184,4,6,2,3,0,0,0,6,0,1,0,1,1,8.8
True,2019-12-02,11,11,MILWAUKEE BUCKS,HOME,NEW YORK KNICKS,WIN,1163,4,10,2,5,1,2,0,2,1,2,1,1,3,7.0
True,2019-12-04,6,6,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,WIN,1294,2,6,0,3,2,2,0,6,3,1,0,2,1,5.1
True,2019-12-06,11,15,MILWAUKEE BUCKS,HOME,LOS ANGELES CLIPPERS,WIN,1329,2,7,1,4,6,6,2,3,1,4,0,2,1,11.5
True,2019-12-09,12,11,MILWAUKEE BUCKS,HOME,ORLANDO MAGIC,WIN,1216,5,8,2,3,0,0,0,2,1,1,0,1,1,9.3
True,2019-12-11,3,-2,MILWAUKEE BUCKS,HOME,NEW ORLEANS PELICANS,WIN,1428,1,4,1,3,0,0,0,3,3,0,0,3,1,0.2
True,2019-12-13,6,-5,MILWAUKEE BUCKS,AWAY,MEMPHIS GRIZZLIES,WIN,1140,2,4,0,1,2,2,0,2,3,1,0,1,1,6.3
True,2019-12-14,15,4,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,1510,6,8,1,2,2,2,0,5,4,3,0,1,3,16.9
True,2019-12-16,5,10,MILWAUKEE BUCKS,HOME,DALLAS MAVERICKS,LOSS,1773,2,8,0,3,1,2,3,7,9,3,1,1,5,11.0
True,2019-12-19,5,2,MILWAUKEE BUCKS,HOME,LOS ANGELES LAKERS,WIN,1627,2,7,1,4,0,0,0,6,6,1,0,1,3,5.7
True,2019-12-21,13,21,MILWAUKEE BUCKS,AWAY,NEW YORK KNICKS,WIN,1526,5,8,3,5,0,0,2,5,1,1,1,1,0,13.7
True,2019-12-22,4,23,MILWAUKEE BUCKS,HOME,INDIANA PACERS,WIN,1480,2,7,0,2,0,0,2,2,3,2,2,0,1,7.0
True,2019-12-25,6,-8,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,LOSS,1577,3,5,0,2,0,0,1,3,2,2,0,1,2,6.9
True,2019-12-27,10,33,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,WIN,1362,3,8,0,1,4,4,0,2,2,3,1,1,1,9.9
True,2019-12-28,7,13,MILWAUKEE BUCKS,HOME,ORLANDO MAGIC,WIN,1587,3,5,1,3,0,0,1,8,5,0,0,5,2,5.5
True,2019-12-30,2,3,MILWAUKEE BUCKS,AWAY,CHICAGO BULLS,WIN,1518,1,4,0,3,0,0,1,4,4,0,0,1,0,3.3
True,2020-01-01,6,4,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1469,2,3,0,1,2,2,2,6,2,1,0,0,1,9.9
True,2020-01-06,16,-13,MILWAUKEE BUCKS,AWAY,SAN ANTONIO SPURS,LOSS,1599,6,12,2,6,2,3,1,3,1,1,0,1,3,10.7
True,2020-01-08,8,14,MILWAUKEE BUCKS,AWAY,GOLDEN STATE WARRIORS,WIN,1489,3,9,0,5,2,2,0,5,4,2,0,1,3,7.0
True,2020-01-10,18,18,MILWAUKEE BUCKS,AWAY,SACRAMENTO KINGS,WIN,1419,7,13,4,6,0,0,1,2,1,3,0,0,0,16.7
True,2020-01-11,10,22,MILWAUKEE BUCKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1421,4,8,2,5,0,0,1,2,2,3,0,1,1,10.3
True,2020-01-14,9,-1,MILWAUKEE BUCKS,HOME,NEW YORK KNICKS,WIN,994,4,8,1,5,0,0,0,3,4,0,2,3,1,6.7
True,2020-01-16,19,-2,MILWAUKEE BUCKS,HOME,BOSTON CELTICS,WIN,1666,6,11,4,6,3,3,1,2,1,2,0,0,1,17.3
True,2020-01-18,11,13,MILWAUKEE BUCKS,AWAY,BROOKLYN NETS,WIN,1536,5,10,1,3,0,0,1,5,2,2,1,2,0,10.3
True,2020-01-20,4,6,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,WIN,1254,2,6,0,2,0,2,1,6,4,1,0,3,0,3.1
True,2020-01-24,8,10,MILWAUKEE BUCKS,AWAY,CHARLOTTE HORNETS,WIN,1536,3,4,1,2,1,2,3,4,2,2,1,1,5,10.4
True,2020-01-28,16,13,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,WIN,1347,6,9,3,5,1,2,2,5,2,0,0,0,5,14.0
True,2020-02-02,15,15,MILWAUKEE BUCKS,HOME,PHOENIX SUNS,WIN,1329,6,12,2,7,1,2,0,2,1,2,0,2,3,8.7
True,2020-02-04,8,-5,MILWAUKEE BUCKS,AWAY,NEW ORLEANS PELICANS,WIN,1096,3,10,0,3,2,2,3,2,5,2,0,2,1,8.0
True,2020-02-06,8,6,MILWAUKEE BUCKS,HOME,PHILADELPHIA 76ERS,WIN,1428,3,6,2,3,0,0,1,6,0,0,1,1,1,6.8
True,2020-02-08,4,-3,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,WIN,1587,2,6,0,2,0,0,1,3,2,1,0,1,1,3.2
True,2020-02-10,10,2,MILWAUKEE BUCKS,HOME,SACRAMENTO KINGS,WIN,1523,3,8,2,4,2,2,1,3,0,2,0,2,0,7.2
True,2020-02-12,19,5,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,1792,8,14,3,7,0,0,2,6,1,1,1,1,1,16.6
True,2020-02-20,8,8,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,WIN,1079,3,4,1,2,1,1,1,1,0,0,0,0,0,7.4
True,2020-02-22,6,8,MILWAUKEE BUCKS,HOME,PHILADELPHIA 76ERS,WIN,1174,2,8,1,5,1,2,0,4,1,0,0,1,1,1.3
True,2020-02-24,12,-5,MILWAUKEE BUCKS,AWAY,WASHINGTON WIZARDS,WIN,1712,4,5,2,3,2,2,2,8,2,0,0,3,2,11.5
True,2020-02-25,5,2,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,WIN,1259,1,6,0,4,3,4,3,4,3,2,0,0,2,7.4
True,2020-02-28,7,1,MILWAUKEE BUCKS,HOME,OKLAHOMA CITY THUNDER,WIN,1166,3,7,1,3,0,0,1,5,3,0,0,2,2,4.8
True,2020-03-01,2,14,MILWAUKEE BUCKS,AWAY,CHARLOTTE HORNETS,WIN,1655,1,5,0,3,0,0,1,6,5,0,1,2,0,3.6
True,2020-03-02,11,-10,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,LOSS,1598,4,6,1,3,2,4,0,5,3,0,1,0,3,10.7
True,2020-03-04,19,11,MILWAUKEE BUCKS,HOME,INDIANA PACERS,WIN,1396,5,10,3,6,6,6,1,6,3,3,1,2,0,20.3
True,2020-03-06,17,-14,MILWAUKEE BUCKS,AWAY,LOS ANGELES LAKERS,LOSS,1474,7,13,3,7,0,0,0,3,4,0,1,2,2,12.3
True,2020-03-08,16,8,MILWAUKEE BUCKS,AWAY,PHOENIX SUNS,LOSS,1728,7,11,2,5,0,1,1,6,4,2,0,0,4,16.4
True,2020-07-31,10,13,MILWAUKEE BUCKS,HOME,BOSTON CELTICS,WIN,1603,4,8,2,5,0,0,1,5,3,0,0,2,4,6.7
True,2020-08-02,9,-3,MILWAUKEE BUCKS,AWAY,HOUSTON ROCKETS,LOSS,1381,4,10,1,6,0,2,0,1,1,1,0,5,3,-1.4
True,2020-08-04,11,0,MILWAUKEE BUCKS,HOME,BROOKLYN NETS,LOSS,1440,5,10,1,4,0,0,1,3,6,0,0,0,0,11.8
True,2020-08-06,2,-16,MILWAUKEE BUCKS,HOME,MIAMI HEAT,WIN,976,1,4,0,1,0,0,0,1,3,1,0,1,1,1.6
True,2020-08-08,1,5,MILWAUKEE BUCKS,AWAY,DALLAS MAVERICKS,LOSS,1321,0,4,0,2,1,2,0,4,0,1,1,0,2,-0.1
True,2020-08-10,6,10,MILWAUKEE BUCKS,HOME,TORONTO RAPTORS,LOSS,1659,2,9,0,3,2,2,4,5,1,1,1,5,2,1.4
True,2020-08-13,17,-9,MILWAUKEE BUCKS,AWAY,MEMPHIS GRIZZLIES,LOSS,1138,7,13,3,5,0,2,1,3,4,1,0,5,4,8.7
