active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2019-11-01,0,-3,SAN ANTONIO SPURS,AWAY,GOLDEN STATE WARRIORS,WIN,118,0,2,0,0,0,0,2,1,0,0,0,1,1,-1.1
True,2019-11-29,0,-5,SAN ANTONIO SPURS,HOME,LOS ANGELES CLIPPERS,WIN,64,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
True,2019-12-01,9,-27,SAN ANTONIO SPURS,AWAY,DETROIT PISTONS,LOSS,1309,4,6,0,0,1,1,3,5,1,0,1,2,2,8.6
True,2019-12-03,2,1,SAN ANTONIO SPURS,HOME,HOUSTON ROCKETS,WIN,376,1,1,0,0,0,0,0,2,1,0,0,1,0,2.0
True,2019-12-28,6,0,SAN ANTONIO SPURS,HOME,DETROIT PISTONS,WIN,187,3,3,0,0,0,0,1,2,0,0,0,0,0,6.4
True,2020-01-08,2,-2,SAN ANTONIO SPURS,AWAY,BOSTON CELTICS,WIN,136,1,1,0,0,0,0,0,0,0,0,0,0,1,1.3
True,2020-01-10,2,0,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,LOSS,106,0,0,0,0,2,2,0,0,0,0,0,0,0,2.0
True,2020-02-08,2,-3,SAN ANTONIO SPURS,AWAY,SACRAMENTO KINGS,LOSS,215,1,1,0,0,0,0,0,1,0,0,0,1,0,1.0
True,2020-02-29,10,-2,SAN ANTONIO SPURS,HOME,ORLANDO MAGIC,WIN,990,4,4,1,1,1,2,0,3,0,0,0,2,4,5.7
True,2020-03-02,3,-8,SAN ANTONIO SPURS,HOME,INDIANA PACERS,LOSS,993,1,1,0,0,1,2,0,2,0,0,1,0,2,2.8
True,2020-03-03,3,-4,SAN ANTONIO SPURS,AWAY,CHARLOTTE HORNETS,WIN,672,1,1,0,0,1,2,1,1,0,0,1,0,2,3.2
True,2020-03-06,6,4,SAN ANTONIO SPURS,AWAY,BROOKLYN NETS,LOSS,923,3,3,0,0,0,0,0,4,0,0,0,0,4,4.7
True,2020-03-08,6,7,SAN ANTONIO SPURS,AWAY,CLEVELAND CAVALIERS,LOSS,1319,2,4,0,0,2,2,1,5,1,1,2,2,4,5.7
True,2020-03-10,0,-1,SAN ANTONIO SPURS,HOME,DALLAS MAVERICKS,WIN,417,0,0,0,0,0,0,0,1,2,1,1,1,0,2.4
True,2020-07-31,2,3,SAN ANTONIO SPURS,HOME,SACRAMENTO KINGS,WIN,121,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2020-08-02,8,-15,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,WIN,1389,2,4,0,0,4,5,2,3,0,0,2,3,4,4.7
True,2020-08-03,6,-2,SAN ANTONIO SPURS,AWAY,PHILADELPHIA 76ERS,LOSS,1158,3,5,0,0,0,0,3,7,2,0,2,3,3,6.5
True,2020-08-05,12,6,SAN ANTONIO SPURS,HOME,DENVER NUGGETS,LOSS,1075,6,8,0,0,0,0,3,2,1,1,0,1,1,11.8
True,2020-08-07,8,-8,SAN ANTONIO SPURS,HOME,UTAH JAZZ,WIN,804,4,5,0,0,0,0,1,4,1,0,0,0,2,7.9
True,2020-08-09,8,2,SAN ANTONIO SPURS,AWAY,NEW ORLEANS PELICANS,WIN,1436,4,6,0,0,0,0,6,5,3,2,2,1,4,14.0
True,2020-08-11,4,-4,SAN ANTONIO SPURS,HOME,HOUSTON ROCKETS,WIN,891,1,4,0,0,2,2,3,4,0,0,1,2,1,3.2
True,2020-08-13,8,-10,SAN ANTONIO SPURS,AWAY,UTAH JAZZ,LOSS,1634,1,6,0,0,6,8,2,5,3,0,4,1,1,9.8
