active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2019-10-23,16,-10,ORLANDO MAGIC,HOME,CLEVELAND CAVALIERS,WIN,1686,7,13,2,4,0,2,1,2,4,1,1,3,3,10.5
True,2019-10-26,23,-12,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,1782,8,18,1,6,6,7,0,3,2,1,0,2,2,13.7
True,2019-10-28,18,-11,ORLANDO MAGIC,AWAY,TORONTO RAPTORS,LOSS,1732,7,15,1,7,3,3,0,4,2,0,0,2,2,10.1
True,2019-10-30,14,23,ORLANDO MAGIC,HOME,NEW YORK KNICKS,WIN,1689,5,12,2,4,2,2,0,3,3,1,0,1,0,10.6
True,2019-11-01,19,-4,ORLANDO MAGIC,HOME,MILWAUKEE BUCKS,LOSS,1292,7,12,4,8,1,1,0,4,1,1,0,4,2,11.5
True,2019-11-02,11,-2,ORLANDO MAGIC,HOME,DENVER NUGGETS,LOSS,1625,5,12,1,5,0,0,0,2,5,0,0,2,1,6.3
True,2019-11-05,4,-13,ORLANDO MAGIC,AWAY,OKLAHOMA CITY THUNDER,LOSS,1975,0,7,0,2,4,4,0,5,1,2,0,3,2,-0.5
True,2019-11-06,9,12,ORLANDO MAGIC,AWAY,DALLAS MAVERICKS,LOSS,1661,3,5,1,2,2,2,0,0,1,0,0,1,6,4.0
True,2019-11-08,19,25,ORLANDO MAGIC,HOME,MEMPHIS GRIZZLIES,WIN,1632,7,13,2,4,3,3,0,7,6,0,1,0,3,18.5
True,2019-11-10,22,1,ORLANDO MAGIC,HOME,INDIANA PACERS,LOSS,1821,7,13,6,8,2,2,0,3,6,0,1,1,4,18.9
True,2019-11-13,13,13,ORLANDO MAGIC,HOME,PHILADELPHIA 76ERS,WIN,1860,5,10,1,5,2,3,0,2,3,1,0,2,1,8.9
True,2019-11-15,26,14,ORLANDO MAGIC,HOME,SAN ANTONIO SPURS,WIN,1938,9,15,5,6,3,4,1,3,3,1,0,2,1,21.0
True,2019-11-17,25,12,ORLANDO MAGIC,HOME,WASHINGTON WIZARDS,WIN,1865,7,13,5,8,6,8,0,1,9,1,0,1,2,23.7
True,2019-11-20,21,3,ORLANDO MAGIC,AWAY,TORONTO RAPTORS,LOSS,1671,7,15,3,6,4,5,0,2,3,3,0,3,2,14.8
True,2019-11-23,26,-22,ORLANDO MAGIC,AWAY,INDIANA PACERS,LOSS,2068,11,23,4,10,0,0,0,1,4,1,0,3,2,14.6
True,2019-11-25,17,-9,ORLANDO MAGIC,AWAY,DETROIT PISTONS,LOSS,2246,5,16,0,5,7,8,0,2,2,2,0,1,3,9.2
