active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2019-10-23,7,8,UTAH JAZZ,HOME,OKLAHOMA CITY THUNDER,WIN,1959,3,8,1,4,0,0,0,4,1,0,0,1,2,2.7
True,2019-10-25,2,-9,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,LOSS,1703,1,2,0,1,0,0,0,3,4,0,0,2,3,1.5
True,2019-10-26,8,10,UTAH JAZZ,HOME,SACRAMENTO KINGS,WIN,1527,2,5,2,5,2,2,0,4,3,3,0,1,1,10.2
True,2019-10-28,3,-3,UTAH JAZZ,AWAY,PHOENIX SUNS,WIN,1537,1,6,1,5,0,0,1,8,5,1,0,3,3,2.6
True,2019-10-30,10,27,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,WIN,1863,4,8,2,4,0,0,0,2,7,2,0,1,3,11.3
True,2019-11-01,6,11,UTAH JAZZ,AWAY,SACRAMENTO KINGS,LOSS,1786,2,6,2,5,0,0,0,2,3,0,0,1,2,3.5
True,2019-11-03,9,-12,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,1683,3,9,3,9,0,0,0,5,2,1,1,1,4,5.9
True,2019-11-06,16,-8,UTAH JAZZ,HOME,PHILADELPHIA 76ERS,WIN,1754,6,11,2,5,2,2,1,1,2,0,0,0,3,11.9
True,2019-11-08,1,10,UTAH JAZZ,HOME,MILWAUKEE BUCKS,WIN,1247,0,5,0,3,1,2,0,5,3,0,0,2,3,-2.5
True,2019-11-11,11,-3,UTAH JAZZ,AWAY,GOLDEN STATE WARRIORS,WIN,1620,3,8,1,5,4,4,0,3,7,1,0,2,1,11.0
True,2019-11-12,3,4,UTAH JAZZ,HOME,BROOKLYN NETS,WIN,1933,0,6,0,4,3,4,0,5,2,0,1,1,3,-0.2
True,2019-11-15,5,4,UTAH JAZZ,AWAY,MEMPHIS GRIZZLIES,LOSS,1066,2,4,1,3,0,0,0,2,2,0,0,1,2,3.2
True,2019-11-18,12,-11,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,LOSS,2017,4,12,3,7,1,2,1,7,5,0,0,2,1,8.7
True,2019-11-20,3,-13,UTAH JAZZ,AWAY,MINNESOTA TIMBERWOLVES,WIN,1633,1,4,0,2,1,2,2,2,4,2,0,1,2,5.2
True,2019-11-22,3,5,UTAH JAZZ,HOME,GOLDEN STATE WARRIORS,WIN,1646,1,3,1,2,0,0,0,5,3,0,0,3,2,1.1
True,2019-11-23,3,-7,UTAH JAZZ,HOME,NEW ORLEANS PELICANS,WIN,1496,1,6,1,5,0,0,0,8,3,0,0,3,3,-0.5
True,2019-11-25,15,-10,UTAH JAZZ,AWAY,MILWAUKEE BUCKS,LOSS,1630,5,10,3,7,2,2,0,5,4,1,0,0,1,14.9
True,2019-11-27,12,-16,UTAH JAZZ,AWAY,INDIANA PACERS,LOSS,1687,5,9,2,6,0,0,0,2,2,4,0,1,2,11.9
