active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2019-10-24,5,8,MILWAUKEE BUCKS,AWAY,HOUSTON ROCKETS,WIN,914,2,4,1,3,0,0,1,5,1,1,0,1,1,5.5
True,2019-10-26,14,0,MILWAUKEE BUCKS,HOME,MIAMI HEAT,LOSS,1061,4,11,4,9,2,2,1,0,0,0,0,1,2,6.8
True,2019-10-28,9,-1,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,1085,3,3,3,3,0,0,0,1,0,0,1,1,1,7.7
True,2019-10-30,9,-4,MILWAUKEE BUCKS,AWAY,BOSTON CELTICS,LOSS,982,3,6,2,5,1,2,0,0,0,1,0,2,0,4.6
True,2019-11-02,6,-1,MILWAUKEE BUCKS,HOME,TORONTO RAPTORS,WIN,930,2,5,2,4,0,0,1,0,0,0,0,0,2,3.2
True,2019-11-04,3,13,MILWAUKEE BUCKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1029,1,5,1,4,0,1,0,2,0,0,0,1,0,-0.9
True,2019-11-06,14,8,MILWAUKEE BUCKS,AWAY,LOS ANGELES CLIPPERS,WIN,935,5,9,4,7,0,0,0,1,0,0,0,0,1,9.6
True,2019-11-08,0,-3,MILWAUKEE BUCKS,AWAY,UTAH JAZZ,LOSS,675,0,1,0,0,0,0,1,1,0,0,0,1,2,-1.5
True,2019-11-14,6,-8,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,WIN,671,1,5,1,3,3,3,1,1,0,0,2,0,1,4.9
True,2019-11-16,2,10,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,WIN,1150,1,6,0,5,0,0,0,2,0,0,0,0,0,-1.2
True,2019-11-18,5,-9,MILWAUKEE BUCKS,AWAY,CHICAGO BULLS,WIN,874,2,4,1,3,0,0,0,0,0,0,1,1,0,2.7
True,2019-11-20,6,-12,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,WIN,725,2,6,2,6,0,0,0,1,0,1,0,2,1,1.5
