active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2019-10-23,8,-3,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,LOSS,644,3,4,0,0,2,2,2,4,1,0,0,2,1,7.3
True,2019-10-25,0,-7,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,WIN,370,0,1,0,0,0,0,0,0,0,0,1,1,1,-1.4
True,2019-10-27,4,7,PORTLAND TRAIL BLAZERS,AWAY,DALLAS MAVERICKS,WIN,334,2,3,0,0,0,0,2,1,0,0,0,0,2,3.6
True,2019-10-28,10,-6,PORTLAND TRAIL BLAZERS,AWAY,SAN ANTONIO SPURS,LOSS,775,4,5,0,0,2,4,6,0,0,0,1,1,3,10.0
True,2019-10-30,7,13,PORTLAND TRAIL BLAZERS,AWAY,OKLAHOMA CITY THUNDER,WIN,1262,2,5,0,0,3,4,2,2,1,1,2,3,4,4.4
True,2019-11-02,15,3,PORTLAND TRAIL BLAZERS,HOME,PHILADELPHIA 76ERS,LOSS,1363,7,9,0,0,1,2,1,3,2,0,1,1,4,12.2
True,2019-11-04,4,3,PORTLAND TRAIL BLAZERS,AWAY,GOLDEN STATE WARRIORS,LOSS,925,2,8,0,1,0,0,4,1,1,0,2,0,3,3.2
True,2019-11-07,4,0,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES CLIPPERS,LOSS,1202,2,3,0,0,0,0,1,2,1,0,1,1,5,2.4
True,2019-11-08,2,0,PORTLAND TRAIL BLAZERS,HOME,BROOKLYN NETS,LOSS,521,1,1,0,0,0,0,1,0,0,0,0,2,5,-1.6
True,2019-11-10,1,0,PORTLAND TRAIL BLAZERS,HOME,ATLANTA HAWKS,WIN,1025,0,3,0,0,1,2,2,4,2,0,1,0,1,2.8
True,2019-11-12,3,-4,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,LOSS,1137,1,2,0,0,1,2,2,4,0,1,2,2,2,3.8
True,2019-11-13,0,-2,PORTLAND TRAIL BLAZERS,HOME,TORONTO RAPTORS,LOSS,1100,0,3,0,0,0,0,1,8,4,0,0,2,0,1.8
True,2019-11-16,2,-4,PORTLAND TRAIL BLAZERS,AWAY,SAN ANTONIO SPURS,WIN,772,1,4,0,1,0,0,1,5,1,0,1,2,3,0.0
True,2019-11-18,15,-3,PORTLAND TRAIL BLAZERS,AWAY,HOUSTON ROCKETS,LOSS,1218,6,7,0,0,3,4,6,0,2,0,2,2,3,15.9
True,2019-11-19,4,-8,PORTLAND TRAIL BLAZERS,AWAY,NEW ORLEANS PELICANS,LOSS,1124,2,4,0,0,0,0,0,2,0,1,0,0,3,2.4
True,2019-11-21,22,-11,PORTLAND TRAIL BLAZERS,AWAY,MILWAUKEE BUCKS,LOSS,1705,10,16,2,4,0,0,3,9,3,1,5,0,3,25.0
