active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2019-10-24,2,-4,MILWAUKEE BUCKS,AWAY,HOUSTON ROCKETS,WIN,995,1,3,0,2,0,3,0,2,1,0,0,1,3,-1.8
True,2019-10-26,6,-1,MILWAUKEE BUCKS,HOME,MIAMI HEAT,LOSS,766,3,6,0,2,0,0,0,1,0,0,0,1,2,1.5
True,2019-10-28,2,6,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,1044,1,2,0,1,0,0,0,1,1,0,2,2,3,0.2
True,2019-10-30,3,6,MILWAUKEE BUCKS,AWAY,BOSTON CELTICS,LOSS,810,1,3,1,3,0,0,0,2,0,1,0,0,2,2.1
True,2019-11-01,6,14,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,WIN,1079,2,2,2,2,0,0,1,4,1,1,1,1,0,8.7
True,2019-11-02,6,0,MILWAUKEE BUCKS,HOME,TORONTO RAPTORS,WIN,671,2,6,0,2,2,2,0,2,1,0,0,0,1,3.5
True,2019-11-04,1,6,MILWAUKEE BUCKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1113,0,2,0,1,1,2,2,1,2,0,1,1,2,1.2
True,2019-11-06,7,0,MILWAUKEE BUCKS,AWAY,LOS ANGELES CLIPPERS,WIN,813,3,6,0,3,1,2,0,3,0,0,1,1,1,3.8
True,2019-11-08,5,-8,MILWAUKEE BUCKS,AWAY,UTAH JAZZ,LOSS,855,2,4,0,0,1,2,1,0,0,0,0,1,2,1.5
True,2019-11-10,0,-2,MILWAUKEE BUCKS,AWAY,OKLAHOMA CITY THUNDER,WIN,553,0,1,0,0,0,0,0,1,0,0,0,2,0,-2.4
True,2019-11-14,6,3,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,WIN,652,3,5,0,0,0,0,3,0,1,0,1,1,0,6.2
True,2019-11-16,7,1,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,WIN,1025,3,8,1,3,0,0,1,4,0,1,0,2,1,3.1
True,2019-11-18,3,-7,MILWAUKEE BUCKS,AWAY,CHICAGO BULLS,WIN,380,1,2,1,2,0,0,1,1,1,0,1,1,0,3.4
True,2019-11-20,9,-5,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,WIN,1188,4,5,1,2,0,0,2,2,0,0,0,2,5,5.1
True,2019-11-21,6,2,MILWAUKEE BUCKS,HOME,PORTLAND TRAIL BLAZERS,WIN,845,2,5,0,2,2,2,2,4,0,0,0,1,2,4.1
True,2019-11-23,3,-12,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,768,1,1,1,1,0,0,0,0,0,0,1,3,1,0.0
True,2019-11-25,4,-5,MILWAUKEE BUCKS,HOME,UTAH JAZZ,WIN,166,2,2,0,0,0,0,0,1,0,0,0,1,1,2.3
True,2019-11-27,2,9,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,WIN,726,1,2,0,0,0,0,2,1,0,0,1,2,4,-0.2
True,2019-11-29,8,2,MILWAUKEE BUCKS,AWAY,CLEVELAND CAVALIERS,WIN,868,3,4,1,1,1,2,3,2,2,0,0,2,3,6.9
True,2019-11-30,13,23,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,WIN,1412,5,9,3,5,0,0,1,5,4,0,3,2,0,13.8
True,2019-12-02,4,23,MILWAUKEE BUCKS,HOME,NEW YORK KNICKS,WIN,1360,1,5,0,1,2,2,2,1,0,1,1,0,4,2.7
True,2019-12-04,10,5,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,WIN,1109,4,6,2,3,0,0,2,0,0,0,1,1,3,7.3
True,2019-12-06,2,-15,MILWAUKEE BUCKS,HOME,LOS ANGELES CLIPPERS,WIN,709,1,5,0,2,0,0,3,1,1,0,2,1,0,2.4
True,2019-12-09,4,5,MILWAUKEE BUCKS,HOME,ORLANDO MAGIC,WIN,840,2,8,0,4,0,0,0,1,2,0,0,0,2,0.1
True,2019-12-11,8,4,MILWAUKEE BUCKS,HOME,NEW ORLEANS PELICANS,WIN,990,4,7,0,2,0,0,1,4,0,0,1,2,1,4.9
True,2019-12-13,3,4,MILWAUKEE BUCKS,AWAY,MEMPHIS GRIZZLIES,WIN,468,0,1,0,0,3,4,0,2,0,0,0,0,0,2.5
True,2019-12-14,16,9,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,1249,7,10,1,3,1,1,2,4,1,1,1,2,1,14.4
True,2019-12-16,0,-7,MILWAUKEE BUCKS,HOME,DALLAS MAVERICKS,LOSS,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2019-12-19,0,7,MILWAUKEE BUCKS,HOME,LOS ANGELES LAKERS,WIN,458,0,2,0,1,0,0,0,2,0,0,1,0,1,-0.5
True,2019-12-21,1,-5,MILWAUKEE BUCKS,AWAY,NEW YORK KNICKS,WIN,1004,0,2,0,0,1,2,0,0,1,0,1,0,1,0.2
True,2019-12-22,13,1,MILWAUKEE BUCKS,HOME,INDIANA PACERS,WIN,1067,6,8,1,1,0,0,2,1,2,1,0,0,1,13.5
True,2019-12-25,2,-12,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,LOSS,461,1,4,0,3,0,0,0,0,0,0,0,0,1,-0.8
True,2019-12-27,10,-1,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,WIN,1243,5,8,0,0,0,3,0,1,1,0,2,0,0,7.6
True,2019-12-28,17,9,MILWAUKEE BUCKS,HOME,ORLANDO MAGIC,WIN,1396,7,8,1,1,2,4,2,1,1,0,0,2,3,12.6
True,2019-12-30,11,6,MILWAUKEE BUCKS,AWAY,CHICAGO BULLS,WIN,1210,5,8,0,2,1,2,2,4,2,0,4,1,0,12.8
True,2020-01-01,7,-2,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1002,3,5,1,2,0,1,0,1,1,0,0,1,0,4.3
True,2020-01-04,14,10,MILWAUKEE BUCKS,HOME,SAN ANTONIO SPURS,WIN,1154,7,10,0,1,0,3,1,4,0,0,1,0,0,11.2
True,2020-01-06,2,-7,MILWAUKEE BUCKS,AWAY,SAN ANTONIO SPURS,LOSS,866,1,6,0,2,0,0,4,3,0,0,1,0,1,2.2
True,2020-01-08,4,3,MILWAUKEE BUCKS,AWAY,GOLDEN STATE WARRIORS,WIN,637,2,3,0,1,0,0,0,2,0,0,0,0,0,3.3
True,2020-01-10,6,20,MILWAUKEE BUCKS,AWAY,SACRAMENTO KINGS,WIN,558,2,3,0,1,2,2,0,1,0,0,0,0,1,4.6
True,2020-01-11,0,4,MILWAUKEE BUCKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,878,0,2,0,1,0,0,0,3,1,0,1,0,0,0.9
True,2020-01-16,0,3,MILWAUKEE BUCKS,HOME,BOSTON CELTICS,WIN,469,0,3,0,0,0,0,0,2,1,0,0,0,0,-0.8
True,2020-01-28,10,-11,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,WIN,986,4,5,0,1,2,2,1,0,0,0,2,3,2,6.4
True,2020-01-31,5,-6,MILWAUKEE BUCKS,HOME,DENVER NUGGETS,LOSS,489,2,4,1,1,0,0,1,0,0,0,0,0,0,3.7
True,2020-02-02,0,15,MILWAUKEE BUCKS,HOME,PHOENIX SUNS,WIN,754,0,1,0,0,0,0,1,4,3,1,0,0,0,4.3
True,2020-02-04,0,-13,MILWAUKEE BUCKS,AWAY,NEW ORLEANS PELICANS,WIN,462,0,0,0,0,0,0,0,1,0,0,1,0,1,0.6
