active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2019-10-23,3,-1,PHOENIX SUNS,HOME,SACRAMENTO KINGS,WIN,119,1,1,1,1,0,0,0,0,0,0,0,0,0,2.7
True,2019-10-26,4,-6,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,WIN,318,2,3,0,1,0,0,0,2,1,0,0,0,1,3.6
True,2019-10-30,0,-7,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,WIN,128,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0
True,2019-11-07,0,-2,PHOENIX SUNS,HOME,MIAMI HEAT,LOSS,117,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.8
True,2019-11-10,4,-1,PHOENIX SUNS,HOME,BROOKLYN NETS,WIN,322,1,2,0,1,2,2,0,0,2,1,0,0,0,5.4
True,2019-11-14,0,0,PHOENIX SUNS,HOME,ATLANTA HAWKS,WIN,169,0,0,0,0,0,0,0,0,2,0,0,0,0,1.4
True,2019-11-18,0,1,PHOENIX SUNS,HOME,BOSTON CELTICS,LOSS,488,0,3,0,2,0,0,0,0,4,0,0,1,2,-1.1
True,2019-11-19,4,18,PHOENIX SUNS,AWAY,SACRAMENTO KINGS,LOSS,1099,0,3,0,2,4,6,0,2,5,0,0,1,1,3.8
True,2019-11-21,11,16,PHOENIX SUNS,HOME,NEW ORLEANS PELICANS,LOSS,1220,4,8,2,3,1,3,0,0,7,1,0,1,1,10.7
True,2019-11-23,4,20,PHOENIX SUNS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1304,1,7,1,3,1,2,1,5,0,0,0,0,0,1.3
True,2019-11-24,16,-2,PHOENIX SUNS,AWAY,DENVER NUGGETS,LOSS,1705,6,11,3,4,1,2,0,2,4,1,0,0,1,14.3
True,2019-11-27,13,2,PHOENIX SUNS,HOME,WASHINGTON WIZARDS,LOSS,1247,5,9,3,5,0,0,1,0,8,1,0,1,2,14.2
True,2019-11-29,0,-2,PHOENIX SUNS,HOME,DALLAS MAVERICKS,LOSS,381,0,2,0,2,0,0,0,2,2,0,0,0,0,0.6
True,2019-12-04,4,8,PHOENIX SUNS,AWAY,ORLANDO MAGIC,LOSS,288,1,2,0,1,2,2,0,0,2,0,0,0,0,4.4
True,2019-12-05,0,-3,PHOENIX SUNS,AWAY,NEW ORLEANS PELICANS,WIN,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2019-12-09,0,-2,PHOENIX SUNS,HOME,MINNESOTA TIMBERWOLVES,WIN,69,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.8
True,2019-12-14,7,-10,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,LOSS,941,2,6,0,1,3,4,0,1,1,0,0,0,2,3.4
True,2019-12-16,6,7,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,LOSS,865,1,5,0,1,4,4,0,3,2,0,0,1,1,3.8
True,2019-12-17,10,-12,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,LOSS,1425,4,8,0,2,2,3,1,1,4,2,0,3,3,7.2
