active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2019-10-23,9,14,CHICAGO BULLS,AWAY,CHARLOTTE HORNETS,LOSS,1663,3,10,1,5,2,2,0,2,1,2,1,0,2,6.4
True,2019-10-25,4,-12,CHICAGO BULLS,AWAY,MEMPHIS GRIZZLIES,WIN,1269,1,6,1,4,1,1,1,2,0,1,0,1,2,0.7
True,2019-10-26,9,-5,CHICAGO BULLS,HOME,TORONTO RAPTORS,LOSS,1220,2,7,1,4,4,5,1,3,1,1,0,1,3,5.6
True,2019-10-28,7,-5,CHICAGO BULLS,AWAY,NEW YORK KNICKS,LOSS,1911,3,11,1,6,0,0,2,1,0,0,0,0,2,1.4
True,2019-10-30,15,5,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,1649,5,10,1,2,4,5,2,3,3,0,0,0,2,13.2
True,2019-11-01,22,6,CHICAGO BULLS,HOME,DETROIT PISTONS,WIN,1867,8,12,3,4,3,5,2,4,4,1,0,2,2,19.6
True,2019-11-03,4,-9,CHICAGO BULLS,AWAY,INDIANA PACERS,LOSS,1623,1,10,1,4,1,2,0,3,3,1,1,2,3,-1.5
True,2019-11-05,18,1,CHICAGO BULLS,HOME,LOS ANGELES LAKERS,LOSS,1635,7,12,4,7,0,0,0,1,0,1,0,1,3,11.5
True,2019-11-06,13,12,CHICAGO BULLS,AWAY,ATLANTA HAWKS,WIN,709,5,6,3,4,0,0,0,4,2,2,1,0,1,15.7
True,2020-03-02,18,11,CHICAGO BULLS,HOME,DALLAS MAVERICKS,WIN,1035,7,11,3,5,1,2,0,1,3,0,1,0,2,15.0
True,2020-03-04,2,-4,CHICAGO BULLS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1097,1,8,0,3,0,0,1,3,3,0,1,1,0,0.2
True,2020-03-06,8,-4,CHICAGO BULLS,HOME,INDIANA PACERS,LOSS,1117,4,9,0,1,0,0,3,2,1,0,1,1,4,4.8
True,2020-03-08,23,19,CHICAGO BULLS,AWAY,BROOKLYN NETS,LOSS,1527,9,17,3,8,2,4,0,3,2,4,0,1,3,18.0
True,2020-03-10,15,-3,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,WIN,1526,6,11,2,5,1,1,1,3,2,2,0,1,2,12.9
