active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2019-10-29,6,2,ATLANTA HAWKS,AWAY,MIAMI HEAT,LOSS,867,1,2,0,0,4,6,2,1,2,1,0,0,2,7.5
True,2019-10-31,12,9,ATLANTA HAWKS,HOME,MIAMI HEAT,LOSS,1168,6,10,0,2,0,0,0,3,2,0,0,3,2,5.9
True,2019-11-05,2,-1,ATLANTA HAWKS,HOME,SAN ANTONIO SPURS,WIN,378,1,3,0,1,0,0,0,1,0,0,0,0,0,0.6
True,2019-11-06,2,-5,ATLANTA HAWKS,HOME,CHICAGO BULLS,LOSS,965,1,3,0,1,0,2,0,2,1,1,0,3,4,-2.8
True,2019-11-08,2,-6,ATLANTA HAWKS,HOME,SACRAMENTO KINGS,LOSS,430,1,2,0,0,0,0,0,1,0,0,0,0,0,1.3
True,2019-11-10,4,8,ATLANTA HAWKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1012,1,2,0,1,2,3,0,2,1,0,0,0,1,3.5
True,2019-11-12,3,-9,ATLANTA HAWKS,AWAY,DENVER NUGGETS,WIN,530,0,3,0,2,3,4,1,3,0,0,0,1,4,-0.5
True,2019-11-14,0,5,ATLANTA HAWKS,AWAY,PHOENIX SUNS,LOSS,1027,0,5,0,2,0,0,0,3,4,1,0,2,3,-2.0
True,2019-11-16,2,-17,ATLANTA HAWKS,AWAY,LOS ANGELES CLIPPERS,LOSS,653,0,1,0,0,2,2,0,0,0,0,0,0,0,1.3
True,2019-11-17,0,2,ATLANTA HAWKS,AWAY,LOS ANGELES LAKERS,LOSS,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2019-11-22,2,-7,ATLANTA HAWKS,AWAY,DETROIT PISTONS,LOSS,572,1,4,0,1,0,0,0,0,2,2,0,0,0,3.0
True,2019-11-30,5,-23,ATLANTA HAWKS,AWAY,HOUSTON ROCKETS,LOSS,997,2,7,1,4,0,0,0,3,0,0,1,0,1,2.1
True,2019-12-02,0,9,ATLANTA HAWKS,HOME,GOLDEN STATE WARRIORS,WIN,634,0,0,0,0,0,0,0,0,1,1,0,0,1,1.3
True,2019-12-04,0,1,ATLANTA HAWKS,HOME,BROOKLYN NETS,LOSS,237,0,2,0,1,0,0,0,0,0,1,0,1,1,-1.8
