active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2019-10-23,17,6,CHICAGO BULLS,AWAY,CHARLOTTE HORNETS,LOSS,1629,6,13,1,4,4,5,0,3,7,0,0,1,2,13.9
True,2019-10-25,25,15,CHICAGO BULLS,AWAY,MEMPHIS GRIZZLIES,WIN,1819,10,16,4,8,1,2,0,6,2,0,0,0,1,20.2
True,2019-10-26,8,-6,CHICAGO BULLS,HOME,TORONTO RAPTORS,LOSS,1332,3,14,0,4,2,2,0,6,1,2,0,3,2,0.1
True,2019-10-28,5,0,CHICAGO BULLS,AWAY,NEW YORK KNICKS,LOSS,964,2,5,1,3,0,0,0,2,3,0,0,0,0,5.0
True,2019-10-30,8,-11,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,1231,3,12,2,7,0,0,1,0,1,2,0,0,2,3.4
True,2019-11-01,9,-5,CHICAGO BULLS,HOME,DETROIT PISTONS,WIN,1167,4,12,1,6,0,0,1,0,0,0,0,3,0,-0.1
True,2019-11-03,1,-3,CHICAGO BULLS,AWAY,INDIANA PACERS,LOSS,1415,0,6,0,2,1,2,0,4,2,0,0,2,0,-3.0
True,2019-11-05,18,1,CHICAGO BULLS,HOME,LOS ANGELES LAKERS,LOSS,1410,7,15,1,5,3,3,0,5,4,1,0,2,1,13.2
True,2019-11-06,10,7,CHICAGO BULLS,AWAY,ATLANTA HAWKS,WIN,1772,3,13,1,7,3,6,0,2,3,0,0,0,0,3.6
True,2019-11-09,10,-13,CHICAGO BULLS,HOME,HOUSTON ROCKETS,LOSS,1628,4,16,0,6,2,3,0,3,1,1,0,2,2,-0.2
True,2019-11-12,27,27,CHICAGO BULLS,HOME,NEW YORK KNICKS,WIN,1627,8,14,7,11,4,4,0,3,1,1,0,1,2,21.2
True,2019-11-14,26,-9,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,LOSS,2082,9,23,6,13,2,2,0,5,3,3,0,3,1,16.7
True,2019-11-16,7,-6,CHICAGO BULLS,HOME,BROOKLYN NETS,LOSS,1737,3,13,1,7,0,0,3,6,3,1,0,3,6,0.7
True,2019-11-18,13,-11,CHICAGO BULLS,HOME,MILWAUKEE BUCKS,LOSS,1476,5,15,3,6,0,0,0,3,3,1,0,0,2,7.7
True,2019-11-20,12,-3,CHICAGO BULLS,HOME,DETROIT PISTONS,WIN,1351,3,7,3,3,3,3,0,5,1,0,0,0,4,8.9
True,2019-11-22,12,-9,CHICAGO BULLS,HOME,MIAMI HEAT,LOSS,1249,4,10,2,3,2,2,0,2,1,0,0,3,1,4.5
True,2019-11-23,28,-5,CHICAGO BULLS,AWAY,CHARLOTTE HORNETS,WIN,2058,12,19,4,9,0,0,0,2,3,1,0,3,1,19.8
True,2019-11-25,8,-15,CHICAGO BULLS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1696,3,13,1,8,1,2,0,3,2,2,0,0,1,3.6
True,2019-11-27,2,-19,CHICAGO BULLS,AWAY,GOLDEN STATE WARRIORS,LOSS,1562,0,7,0,4,2,2,0,1,0,2,0,3,0,-3.6
True,2019-11-29,13,-5,CHICAGO BULLS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1230,5,13,2,7,1,1,0,4,1,0,0,0,0,7.8
True,2019-12-02,11,13,CHICAGO BULLS,AWAY,SACRAMENTO KINGS,WIN,1274,4,9,3,6,0,0,0,3,3,0,0,0,0,9.3
True,2019-12-04,3,6,CHICAGO BULLS,HOME,MEMPHIS GRIZZLIES,WIN,1338,1,8,1,3,0,1,1,4,1,0,0,2,3,-3.2
True,2019-12-06,14,-10,CHICAGO BULLS,HOME,GOLDEN STATE WARRIORS,LOSS,1168,5,10,4,5,0,0,0,3,2,0,0,0,0,11.3
True,2019-12-08,11,-4,CHICAGO BULLS,AWAY,MIAMI HEAT,LOSS,1908,3,9,3,7,2,2,1,3,8,0,0,3,2,9.3
True,2019-12-09,0,9,CHICAGO BULLS,HOME,TORONTO RAPTORS,LOSS,1786,0,7,0,5,0,0,0,8,5,0,0,3,3,-3.2
True,2019-12-11,19,20,CHICAGO BULLS,HOME,ATLANTA HAWKS,WIN,1519,7,13,0,2,5,6,0,2,3,1,1,1,0,15.7
True,2019-12-13,3,-2,CHICAGO BULLS,HOME,CHARLOTTE HORNETS,LOSS,1223,1,8,1,5,0,0,1,2,3,2,0,2,1,0.8
True,2019-12-14,2,-16,CHICAGO BULLS,HOME,LOS ANGELES CLIPPERS,WIN,781,1,6,0,3,0,0,0,2,1,1,0,2,1,-1.9
True,2019-12-16,2,-1,CHICAGO BULLS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1176,1,6,0,2,0,0,0,2,5,2,1,0,2,4.2
True,2019-12-18,3,-9,CHICAGO BULLS,AWAY,WASHINGTON WIZARDS,WIN,1076,1,6,1,4,0,0,0,3,0,0,0,0,0,0.1
True,2019-12-21,19,-10,CHICAGO BULLS,AWAY,DETROIT PISTONS,WIN,1050,6,10,5,7,2,2,1,4,1,0,0,2,0,15.0
True,2019-12-23,9,-14,CHICAGO BULLS,AWAY,ORLANDO MAGIC,LOSS,1168,4,9,1,2,0,0,0,2,1,0,1,1,0,5.3
True,2019-12-28,18,14,CHICAGO BULLS,HOME,ATLANTA HAWKS,WIN,1542,8,11,2,3,0,0,1,4,0,0,0,5,1,10.0
True,2019-12-30,18,-3,CHICAGO BULLS,HOME,MILWAUKEE BUCKS,LOSS,1989,7,18,3,6,1,2,1,3,1,4,0,0,4,12.5
True,2020-01-02,6,-15,CHICAGO BULLS,HOME,UTAH JAZZ,LOSS,1418,3,11,0,4,0,1,2,2,2,2,0,0,3,3.3
