active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2019-10-23,27,22,MIAMI HEAT,HOME,MEMPHIS GRIZZLIES,WIN,2218,10,21,1,2,6,9,2,5,7,1,1,3,2,20.8
True,2019-10-26,10,16,MIAMI HEAT,AWAY,MILWAUKEE BUCKS,WIN,2440,4,16,0,2,2,6,4,9,7,1,0,3,4,5.6
True,2019-10-27,20,-1,MIAMI HEAT,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2562,8,17,2,3,2,2,1,7,6,1,2,4,4,15.1
True,2019-10-29,2,10,MIAMI HEAT,HOME,ATLANTA HAWKS,WIN,1812,1,7,0,3,0,0,1,5,3,2,0,4,3,-1.4
True,2019-11-05,10,-4,MIAMI HEAT,AWAY,DENVER NUGGETS,LOSS,1821,5,11,0,2,0,0,1,5,1,0,0,2,4,3.6
True,2019-11-27,10,3,MIAMI HEAT,AWAY,HOUSTON ROCKETS,LOSS,2046,3,10,0,3,4,4,1,6,3,1,0,1,5,6.8
True,2019-11-29,8,6,MIAMI HEAT,HOME,GOLDEN STATE WARRIORS,WIN,1571,4,6,0,0,0,0,1,2,5,0,0,2,3,7.0
True,2019-12-01,10,8,MIAMI HEAT,AWAY,BROOKLYN NETS,WIN,1779,3,12,1,6,3,4,2,3,3,0,0,1,2,5.0
True,2019-12-03,17,8,MIAMI HEAT,AWAY,TORONTO RAPTORS,WIN,2074,8,17,1,1,0,0,2,7,4,0,1,0,5,13.3
True,2019-12-04,10,-15,MIAMI HEAT,AWAY,BOSTON CELTICS,LOSS,1879,4,10,1,4,1,2,1,6,4,0,0,3,4,4.9
True,2020-01-08,0,-1,MIAMI HEAT,AWAY,INDIANA PACERS,WIN,933,0,2,0,1,0,0,0,2,1,1,1,1,2,-0.2
