active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2020-12-22,20,-23,GOLDEN STATE WARRIORS,AWAY,BROOKLYN NETS,LOSS,1819,7,21,2,10,4,4,3,1,10,2,0,3,1,16.1
True,2020-12-25,19,-24,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,LOSS,1738,6,17,2,10,5,5,0,4,6,1,0,2,2,13.1
True,2020-12-27,36,3,GOLDEN STATE WARRIORS,AWAY,CHICAGO BULLS,WIN,2186,11,25,5,15,9,9,0,2,6,2,2,4,1,26.7
True,2020-12-29,31,3,GOLDEN STATE WARRIORS,AWAY,DETROIT PISTONS,WIN,2090,9,17,5,9,8,8,0,5,6,2,0,8,5,20.4
True,2021-01-01,26,-27,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2018,9,20,4,12,4,4,0,8,5,0,0,1,1,20.1
True,2021-01-03,62,20,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,WIN,2187,18,31,8,16,18,19,1,4,4,0,0,5,0,46.8
True,2021-01-04,30,26,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,1834,9,18,5,12,7,7,0,9,8,0,0,2,3,26.1
True,2021-01-06,13,-10,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,LOSS,2099,5,17,1,6,2,4,1,3,5,1,0,0,3,7.2
True,2021-01-08,38,13,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,2175,13,24,9,14,3,3,0,2,11,3,0,2,3,34.5
True,2021-01-10,11,7,GOLDEN STATE WARRIORS,HOME,TORONTO RAPTORS,WIN,2292,2,16,1,10,6,6,3,6,6,0,0,5,3,2.5
