active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2020-12-23,6,5,DETROIT PISTONS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,810,3,8,0,2,0,1,2,7,1,0,0,0,1,5.0
True,2020-12-26,0,-18,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,LOSS,528,0,5,0,1,0,0,1,1,0,0,0,0,0,-2.5
True,2020-12-28,2,-4,DETROIT PISTONS,AWAY,ATLANTA HAWKS,LOSS,622,1,3,0,0,0,0,1,0,0,1,0,0,0,2.0
True,2020-12-29,9,-3,DETROIT PISTONS,HOME,GOLDEN STATE WARRIORS,LOSS,604,2,4,1,1,4,4,1,1,0,0,0,0,1,7.6
True,2021-01-01,0,-2,DETROIT PISTONS,HOME,BOSTON CELTICS,WIN,659,0,3,0,2,0,0,1,4,2,0,0,1,1,-0.2
True,2021-01-03,8,-8,DETROIT PISTONS,HOME,BOSTON CELTICS,LOSS,856,3,3,2,2,0,0,0,0,0,1,1,0,1,8.4
True,2021-01-04,13,-4,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,1407,4,13,3,6,2,2,0,2,1,2,0,0,3,7.6
True,2021-01-06,0,-4,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,774,0,0,0,0,0,0,0,2,1,0,1,0,3,0.8
True,2021-01-08,3,-9,DETROIT PISTONS,HOME,PHOENIX SUNS,WIN,311,1,2,1,1,0,0,0,1,0,0,0,0,0,2.3
True,2021-01-10,2,-1,DETROIT PISTONS,HOME,UTAH JAZZ,LOSS,293,0,1,0,1,2,2,0,0,0,0,0,1,1,-0.1
True,2021-01-16,6,1,DETROIT PISTONS,AWAY,MIAMI HEAT,WIN,990,3,6,0,2,0,0,1,2,0,0,0,0,3,3.1
