active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2020-12-23,3,-16,ATLANTA HAWKS,AWAY,CHICAGO BULLS,WIN,794,1,4,1,3,0,0,0,1,4,0,0,1,4,1.1
True,2020-12-26,5,-2,ATLANTA HAWKS,AWAY,MEMPHIS GRIZZLIES,WIN,718,1,4,1,2,2,4,1,0,0,0,0,0,0,2.5
True,2021-01-01,3,7,ATLANTA HAWKS,AWAY,BROOKLYN NETS,WIN,933,1,4,1,3,0,0,0,3,3,1,0,0,0,4.6
True,2021-01-02,6,-8,ATLANTA HAWKS,HOME,CLEVELAND CAVALIERS,LOSS,834,3,4,0,0,0,0,0,0,1,0,0,0,0,5.1
True,2021-01-04,0,-12,ATLANTA HAWKS,HOME,NEW YORK KNICKS,LOSS,503,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0
True,2021-01-06,9,9,ATLANTA HAWKS,HOME,CHARLOTTE HORNETS,LOSS,1214,4,10,1,5,0,0,0,3,2,2,0,1,1,6.5
True,2021-01-09,5,-12,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,LOSS,772,2,6,1,4,0,0,0,0,3,0,0,1,0,2.7
True,2021-01-11,15,-2,ATLANTA HAWKS,HOME,PHILADELPHIA 76ERS,WIN,1351,5,12,3,7,2,2,0,4,4,1,0,0,1,13.2
True,2021-01-15,4,-3,ATLANTA HAWKS,AWAY,UTAH JAZZ,LOSS,894,0,6,0,5,4,6,0,1,3,0,0,1,1,0.0
True,2021-01-16,9,13,ATLANTA HAWKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,899,4,6,1,3,0,0,0,1,0,2,0,1,3,6.5
True,2021-01-18,2,10,ATLANTA HAWKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1139,1,10,0,3,0,0,0,4,2,2,0,0,2,-0.8
True,2021-01-20,0,-7,ATLANTA HAWKS,HOME,DETROIT PISTONS,WIN,687,0,3,0,1,0,0,0,0,0,0,0,0,1,-2.5
True,2021-01-22,2,-1,ATLANTA HAWKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,268,0,0,0,0,2,2,0,0,0,0,0,0,2,1.2
True,2021-01-24,2,-11,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,LOSS,856,1,2,0,1,0,0,0,0,5,0,0,2,1,2.1
