active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2020-12-26,44,-6,HOUSTON ROCKETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2596,12,21,6,13,14,16,1,3,17,1,0,5,1,42.4
True,2020-12-28,34,-12,HOUSTON ROCKETS,AWAY,DENVER NUGGETS,LOSS,1889,10,16,5,9,9,9,0,6,8,1,0,5,2,29.4
True,2020-12-31,33,8,HOUSTON ROCKETS,HOME,SACRAMENTO KINGS,WIN,2298,10,24,4,11,9,11,2,4,8,1,1,6,2,22.5
True,2021-01-04,21,-24,HOUSTON ROCKETS,HOME,DALLAS MAVERICKS,LOSS,2308,5,17,3,11,8,10,0,3,10,2,0,2,1,17.8
True,2021-01-06,15,3,HOUSTON ROCKETS,AWAY,INDIANA PACERS,LOSS,2331,5,14,1,5,4,4,0,4,12,1,2,4,2,14.4
True,2021-01-08,15,26,HOUSTON ROCKETS,HOME,ORLANDO MAGIC,WIN,1858,6,13,3,9,0,0,0,5,13,0,1,2,2,16.8
True,2021-01-10,20,-11,HOUSTON ROCKETS,HOME,LOS ANGELES LAKERS,LOSS,2266,7,14,2,8,4,5,1,5,9,0,2,7,2,14.7
True,2021-01-12,16,-23,HOUSTON ROCKETS,HOME,LOS ANGELES LAKERS,LOSS,1855,5,16,1,6,5,5,1,6,6,1,0,3,2,10.7
True,2021-01-16,32,7,BROOKLYN NETS,HOME,ORLANDO MAGIC,WIN,2387,8,18,3,10,13,15,1,11,14,4,1,9,3,30.1
True,2021-01-18,34,5,BROOKLYN NETS,HOME,MILWAUKEE BUCKS,WIN,2447,13,25,3,10,5,6,1,5,12,0,1,6,3,25.4
True,2021-01-20,21,-5,BROOKLYN NETS,AWAY,CLEVELAND CAVALIERS,LOSS,3030,6,14,3,6,6,6,1,9,12,2,0,5,5,20.4
True,2021-01-22,19,-2,BROOKLYN NETS,AWAY,CLEVELAND CAVALIERS,LOSS,2223,6,14,4,9,3,4,0,5,11,0,0,3,2,16.6
True,2021-01-23,12,4,BROOKLYN NETS,HOME,MIAMI HEAT,WIN,2309,2,9,0,5,8,9,0,7,11,0,0,5,2,10.1
True,2021-01-25,20,8,BROOKLYN NETS,HOME,MIAMI HEAT,WIN,2069,7,10,3,5,3,5,0,4,8,1,1,3,0,20.5
True,2021-01-27,31,2,BROOKLYN NETS,AWAY,ATLANTA HAWKS,WIN,2754,9,20,5,9,8,8,3,5,15,2,1,3,1,34.0
True,2021-01-29,25,15,BROOKLYN NETS,AWAY,OKLAHOMA CITY THUNDER,WIN,1947,9,14,3,6,4,4,0,10,11,0,1,1,5,27.2
True,2021-02-02,23,8,BROOKLYN NETS,HOME,LOS ANGELES CLIPPERS,WIN,2584,7,15,1,6,8,8,1,11,14,1,0,3,5,25.1
