active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2020-12-23,6,1,SACRAMENTO KINGS,AWAY,DENVER NUGGETS,WIN,1379,3,6,0,0,0,0,6,3,1,0,1,1,6,6.1
True,2020-12-26,11,-1,SACRAMENTO KINGS,HOME,PHOENIX SUNS,WIN,1442,3,5,0,0,5,5,3,6,1,1,0,4,4,8.7
True,2020-12-27,8,2,SACRAMENTO KINGS,HOME,PHOENIX SUNS,LOSS,1493,3,5,0,0,2,2,2,9,0,2,1,2,4,8.9
True,2020-12-29,20,16,SACRAMENTO KINGS,HOME,DENVER NUGGETS,WIN,1920,10,13,0,0,0,1,2,3,3,2,1,1,2,19.8
True,2020-12-31,22,-2,SACRAMENTO KINGS,AWAY,HOUSTON ROCKETS,LOSS,2158,10,13,0,0,2,2,4,9,2,2,1,1,5,23.5
True,2021-01-02,11,5,SACRAMENTO KINGS,AWAY,HOUSTON ROCKETS,LOSS,1982,4,8,0,0,3,3,3,6,0,0,2,0,3,11.1
True,2021-01-04,4,-9,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,1125,2,4,0,0,0,0,1,2,0,1,0,1,5,1.3
True,2021-01-06,24,10,SACRAMENTO KINGS,HOME,CHICAGO BULLS,WIN,1781,10,11,0,1,4,6,3,5,5,1,0,1,5,24.6
True,2021-01-08,10,-4,SACRAMENTO KINGS,HOME,TORONTO RAPTORS,LOSS,1414,5,7,0,0,0,0,0,0,2,1,3,0,4,10.0
True,2021-01-11,16,12,SACRAMENTO KINGS,HOME,INDIANA PACERS,WIN,2151,6,11,1,1,3,4,6,4,3,1,6,3,5,18.0
True,2021-01-13,17,4,SACRAMENTO KINGS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2081,6,6,0,0,5,6,2,7,6,0,1,0,4,21.6
True,2021-01-15,17,-27,SACRAMENTO KINGS,HOME,LOS ANGELES CLIPPERS,LOSS,1829,8,11,0,1,1,1,1,4,1,0,0,1,4,12.5
True,2021-01-17,16,4,SACRAMENTO KINGS,HOME,NEW ORLEANS PELICANS,LOSS,2531,7,12,0,1,2,2,2,5,1,1,2,0,5,14.4
True,2021-01-20,8,-20,SACRAMENTO KINGS,AWAY,LOS ANGELES CLIPPERS,LOSS,2120,4,7,0,0,0,0,1,6,4,1,1,2,2,8.9
True,2021-01-22,10,14,SACRAMENTO KINGS,HOME,NEW YORK KNICKS,WIN,2222,5,8,0,0,0,0,3,11,0,0,6,0,4,14.4
True,2021-01-27,20,17,SACRAMENTO KINGS,AWAY,ORLANDO MAGIC,WIN,1907,8,11,0,0,4,6,5,7,3,0,0,2,5,18.4
True,2021-01-29,5,3,SACRAMENTO KINGS,AWAY,TORONTO RAPTORS,WIN,1571,1,4,0,0,3,4,2,3,2,1,2,4,6,1.9
True,2021-01-30,4,5,SACRAMENTO KINGS,AWAY,MIAMI HEAT,LOSS,1682,2,4,0,0,0,0,1,5,1,1,1,0,2,5.8
True,2021-02-01,17,14,SACRAMENTO KINGS,AWAY,NEW ORLEANS PELICANS,WIN,1987,6,7,0,0,5,7,2,8,3,0,6,4,4,18.2
True,2021-02-03,7,-4,SACRAMENTO KINGS,HOME,BOSTON CELTICS,WIN,1815,3,8,0,1,1,1,1,6,0,0,1,1,5,2.8
True,2021-02-06,21,6,SACRAMENTO KINGS,HOME,DENVER NUGGETS,WIN,1815,9,13,0,0,3,4,4,6,1,0,2,1,3,19.6
True,2021-02-07,12,13,SACRAMENTO KINGS,AWAY,LOS ANGELES CLIPPERS,WIN,1882,6,10,0,0,0,0,2,8,2,0,2,3,5,9.0
True,2021-02-09,10,-10,SACRAMENTO KINGS,HOME,PHILADELPHIA 76ERS,LOSS,1323,5,9,0,0,0,1,2,3,1,0,1,1,5,6.0
True,2021-02-12,10,-27,SACRAMENTO KINGS,HOME,ORLANDO MAGIC,LOSS,1425,4,8,0,0,2,2,3,4,2,2,0,3,3,8.5
True,2021-02-14,13,-15,SACRAMENTO KINGS,HOME,MEMPHIS GRIZZLIES,LOSS,1315,6,9,0,0,1,1,1,1,1,0,1,2,3,8.3
True,2021-02-21,11,-14,SACRAMENTO KINGS,AWAY,MILWAUKEE BUCKS,LOSS,1283,5,7,0,0,1,2,4,7,2,0,0,1,4,11.4
