active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2020-12-22,0,-2,LOS ANGELES CLIPPERS,AWAY,LOS ANGELES LAKERS,WIN,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2020-12-25,0,-3,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2020-12-27,5,-5,LOS ANGELES CLIPPERS,HOME,DALLAS MAVERICKS,LOSS,911,1,3,1,3,2,2,0,2,0,1,0,0,2,4.1
True,2020-12-29,0,-5,LOS ANGELES CLIPPERS,HOME,MINNESOTA TIMBERWOLVES,WIN,471,0,4,0,2,0,0,0,2,0,0,0,2,3,-5.4
True,2020-12-30,0,-4,LOS ANGELES CLIPPERS,HOME,PORTLAND TRAIL BLAZERS,WIN,411,0,2,0,1,0,0,0,0,2,1,1,0,2,0.9
True,2021-01-06,0,2,LOS ANGELES CLIPPERS,AWAY,GOLDEN STATE WARRIORS,WIN,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2021-01-08,0,2,LOS ANGELES CLIPPERS,AWAY,GOLDEN STATE WARRIORS,LOSS,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2021-01-15,2,7,LOS ANGELES CLIPPERS,AWAY,SACRAMENTO KINGS,WIN,397,1,4,0,2,0,0,0,0,0,0,0,0,2,-1.2
True,2021-01-17,1,7,LOS ANGELES CLIPPERS,HOME,INDIANA PACERS,WIN,306,0,0,0,0,1,2,0,2,0,0,1,0,0,1.9
True,2021-01-20,3,4,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,WIN,140,1,1,1,1,0,0,0,1,0,0,0,0,0,3.0
True,2021-01-22,0,1,LOS ANGELES CLIPPERS,HOME,OKLAHOMA CITY THUNDER,WIN,51,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2021-01-29,4,0,LOS ANGELES CLIPPERS,AWAY,ORLANDO MAGIC,WIN,223,2,2,0,0,0,0,1,1,1,0,0,1,1,3.7
True,2021-01-31,0,0,LOS ANGELES CLIPPERS,AWAY,NEW YORK KNICKS,WIN,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2021-02-03,0,0,LOS ANGELES CLIPPERS,AWAY,CLEVELAND CAVALIERS,WIN,236,0,2,0,1,0,0,0,0,0,0,0,0,1,-1.8
True,2021-02-12,0,-2,LOS ANGELES CLIPPERS,AWAY,CHICAGO BULLS,WIN,193,0,1,0,1,0,0,0,0,0,0,0,1,0,-1.7
True,2021-02-14,0,-6,LOS ANGELES CLIPPERS,HOME,CLEVELAND CAVALIERS,WIN,241,0,1,0,0,0,0,0,1,0,0,0,1,2,-2.2
True,2021-02-17,2,2,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,LOSS,316,1,3,0,1,0,0,0,1,0,0,0,0,0,0.6
True,2021-02-23,3,-1,LOS ANGELES CLIPPERS,HOME,WASHINGTON WIZARDS,WIN,217,1,1,1,1,0,0,0,0,1,0,0,0,0,3.4
True,2021-02-25,0,-9,LOS ANGELES CLIPPERS,AWAY,MEMPHIS GRIZZLIES,LOSS,387,0,2,0,2,0,0,0,0,0,0,1,0,0,-0.7
True,2021-02-26,0,5,LOS ANGELES CLIPPERS,AWAY,MEMPHIS GRIZZLIES,WIN,99,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2021-03-11,4,-5,LOS ANGELES CLIPPERS,HOME,GOLDEN STATE WARRIORS,WIN,282,1,2,0,0,2,2,0,2,0,0,0,1,3,1.4
True,2021-03-17,0,-3,LOS ANGELES CLIPPERS,AWAY,DALLAS MAVERICKS,LOSS,87,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2021-03-20,3,-3,LOS ANGELES CLIPPERS,HOME,CHARLOTTE HORNETS,WIN,391,1,3,1,2,0,0,0,1,0,0,0,0,1,1.2
True,2021-04-10,3,2,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,LOSS,209,1,1,1,1,0,0,0,1,0,1,0,0,0,4.0
True,2021-04-11,2,1,CLEVELAND CAVALIERS,HOME,NEW ORLEANS PELICANS,LOSS,988,1,3,0,2,0,0,0,4,1,1,0,1,4,0.6
True,2021-04-15,0,3,CLEVELAND CAVALIERS,HOME,GOLDEN STATE WARRIORS,LOSS,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2021-04-21,2,-2,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,173,0,1,0,1,2,2,0,0,0,0,0,0,0,1.3
True,2021-04-26,2,-3,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,LOSS,529,1,3,0,1,0,0,0,0,1,0,1,0,2,0.9
True,2021-04-28,8,1,CLEVELAND CAVALIERS,HOME,ORLANDO MAGIC,LOSS,678,3,4,2,3,0,0,1,2,2,0,0,0,0,9.1
True,2021-04-30,7,-24,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,LOSS,1281,3,5,1,2,0,1,1,4,3,2,2,3,1,8.3
True,2021-05-01,0,-10,CLEVELAND CAVALIERS,HOME,MIAMI HEAT,LOSS,738,0,1,0,1,0,0,0,0,0,0,1,0,2,-0.8
True,2021-05-04,5,-10,CLEVELAND CAVALIERS,HOME,PHOENIX SUNS,LOSS,284,1,1,1,1,2,2,0,1,0,0,0,0,2,4.2
True,2021-05-05,0,-9,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,397,0,5,0,4,0,0,0,0,1,0,0,0,1,-3.2
True,2021-05-07,2,-1,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,LOSS,200,1,2,0,0,0,0,1,1,0,0,0,0,0,2.0
True,2021-05-09,14,-15,CLEVELAND CAVALIERS,HOME,DALLAS MAVERICKS,LOSS,1382,5,7,1,2,3,4,2,2,1,0,0,1,0,12.4
True,2021-05-10,9,4,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,LOSS,945,3,8,2,4,1,1,1,3,1,1,0,0,1,7.5
True,2021-05-12,2,0,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,WIN,942,1,6,0,4,0,0,1,4,1,0,3,0,0,2.9
True,2021-05-14,4,-17,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,LOSS,1251,1,5,1,5,1,2,1,6,0,1,0,3,4,-0.6
True,2021-05-16,8,6,CLEVELAND CAVALIERS,AWAY,BROOKLYN NETS,LOSS,1097,3,5,0,1,2,2,3,7,1,0,3,1,1,11.3
