active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2021-01-01,2,0,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,LOSS,435,0,2,0,2,2,2,0,1,0,1,0,1,0,0.9
True,2021-02-06,0,0,CHICAGO BULLS,AWAY,ORLANDO MAGIC,WIN,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2021-02-10,0,-2,CHICAGO BULLS,HOME,NEW ORLEANS PELICANS,WIN,265,0,0,0,0,0,0,0,2,1,0,0,0,0,1.3
True,2021-02-12,7,-4,CHICAGO BULLS,HOME,LOS ANGELES CLIPPERS,LOSS,885,3,6,1,3,0,0,0,3,0,0,0,0,0,4.9
True,2021-02-15,0,-1,CHICAGO BULLS,AWAY,INDIANA PACERS,WIN,539,0,5,0,5,0,0,0,2,0,0,0,0,1,-3.3
True,2021-02-17,0,-4,CHICAGO BULLS,HOME,DETROIT PISTONS,WIN,344,0,1,0,1,0,0,0,1,1,1,1,0,0,2.0
True,2021-02-19,0,4,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,LOSS,339,0,2,0,2,0,0,0,1,0,0,0,0,0,-1.1
True,2021-02-24,0,10,CHICAGO BULLS,HOME,MINNESOTA TIMBERWOLVES,WIN,702,0,1,0,1,0,0,0,0,1,0,2,0,0,1.4
True,2021-02-26,11,6,CHICAGO BULLS,HOME,PHOENIX SUNS,LOSS,710,4,5,3,4,0,0,1,4,0,0,3,0,0,13.1
True,2021-03-01,6,16,CHICAGO BULLS,HOME,DENVER NUGGETS,LOSS,651,2,4,2,4,0,0,0,0,1,0,0,0,0,4.7
True,2021-03-11,0,-10,CHICAGO BULLS,HOME,PHILADELPHIA 76ERS,LOSS,465,0,1,0,1,0,2,0,0,0,0,1,0,0,-0.8
True,2021-03-14,0,2,CHICAGO BULLS,HOME,TORONTO RAPTORS,WIN,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2021-03-22,0,-8,CHICAGO BULLS,HOME,UTAH JAZZ,LOSS,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2021-03-27,8,21,BOSTON CELTICS,AWAY,OKLAHOMA CITY THUNDER,WIN,792,3,5,2,3,0,0,2,3,1,0,0,1,1,7.3
True,2021-03-29,10,-7,BOSTON CELTICS,HOME,NEW ORLEANS PELICANS,LOSS,794,4,6,2,4,0,1,1,3,2,0,1,1,0,9.7
True,2021-03-31,4,-2,BOSTON CELTICS,HOME,DALLAS MAVERICKS,LOSS,968,2,5,0,2,0,0,1,1,0,0,1,0,1,2.6
True,2021-04-02,0,-1,BOSTON CELTICS,HOME,HOUSTON ROCKETS,WIN,1101,0,3,0,1,0,0,1,4,2,0,1,0,3,0.7
True,2021-04-04,2,11,BOSTON CELTICS,HOME,CHARLOTTE HORNETS,WIN,548,1,3,0,2,0,0,0,2,0,0,1,0,1,1.2
True,2021-04-06,6,-7,BOSTON CELTICS,HOME,PHILADELPHIA 76ERS,LOSS,926,2,5,2,3,0,0,0,3,1,0,3,0,1,6.6
True,2021-04-15,3,17,BOSTON CELTICS,AWAY,LOS ANGELES LAKERS,WIN,1077,1,4,1,4,0,0,0,3,3,0,4,0,1,6.0
True,2021-04-17,3,-6,BOSTON CELTICS,HOME,GOLDEN STATE WARRIORS,WIN,337,1,3,0,2,1,1,1,0,0,0,0,0,1,1.6
True,2021-04-19,2,2,BOSTON CELTICS,HOME,CHICAGO BULLS,LOSS,604,1,2,0,1,0,0,0,2,0,0,0,0,0,1.6
True,2021-04-23,2,3,BOSTON CELTICS,AWAY,BROOKLYN NETS,LOSS,485,1,2,0,1,0,0,0,0,1,0,0,0,1,1.3
True,2021-04-25,0,-2,BOSTON CELTICS,AWAY,CHARLOTTE HORNETS,LOSS,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2021-04-27,10,1,BOSTON CELTICS,HOME,OKLAHOMA CITY THUNDER,LOSS,1198,5,7,0,1,0,0,2,5,4,0,3,1,0,13.9
True,2021-05-05,5,7,BOSTON CELTICS,AWAY,ORLANDO MAGIC,WIN,783,2,2,1,1,0,0,1,0,1,0,0,2,3,2.6
True,2021-05-07,4,-6,BOSTON CELTICS,AWAY,CHICAGO BULLS,LOSS,604,2,3,0,1,0,0,0,2,0,0,1,0,0,4.0
True,2021-05-09,2,-4,BOSTON CELTICS,HOME,MIAMI HEAT,LOSS,254,1,2,0,1,0,0,0,0,0,0,0,0,0,1.0
True,2021-05-12,3,-3,BOSTON CELTICS,AWAY,CLEVELAND CAVALIERS,LOSS,1100,1,5,1,2,0,0,1,5,2,1,3,0,2,5.8
True,2021-05-15,12,11,BOSTON CELTICS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1858,6,10,0,2,0,0,3,3,3,1,4,0,3,15.1
True,2021-05-16,4,9,BOSTON CELTICS,AWAY,NEW YORK KNICKS,LOSS,1585,2,7,0,5,0,0,0,3,0,0,3,1,1,1.5
