active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2021-03-11,3,0,HOUSTON ROCKETS,AWAY,SACRAMENTO KINGS,LOSS,808,1,4,1,3,0,0,0,1,0,0,0,0,2,0.1
True,2021-03-12,3,6,HOUSTON ROCKETS,AWAY,UTAH JAZZ,LOSS,1359,1,7,1,5,0,0,6,2,1,0,0,1,4,1.4
True,2021-03-14,0,-20,HOUSTON ROCKETS,HOME,BOSTON CELTICS,LOSS,1199,0,5,0,3,0,0,1,3,0,0,0,1,1,-3.3
True,2021-03-16,0,-12,HOUSTON ROCKETS,HOME,ATLANTA HAWKS,LOSS,1086,0,4,0,2,0,0,1,3,0,0,0,0,4,-2.8
True,2021-03-17,9,-16,HOUSTON ROCKETS,HOME,GOLDEN STATE WARRIORS,LOSS,1603,3,7,0,2,3,4,3,6,1,1,1,0,3,10.0
True,2021-03-19,0,0,HOUSTON ROCKETS,HOME,DETROIT PISTONS,LOSS,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2021-03-24,3,2,HOUSTON ROCKETS,HOME,CHARLOTTE HORNETS,LOSS,388,1,3,1,2,0,0,1,0,0,0,0,0,0,2.0
True,2021-03-27,2,-7,HOUSTON ROCKETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,425,1,3,0,2,0,0,0,0,0,0,0,1,0,-0.7
True,2021-04-02,0,6,HOUSTON ROCKETS,AWAY,BOSTON CELTICS,LOSS,274,0,1,0,1,0,0,1,0,1,0,0,0,0,0.7
True,2021-04-09,0,2,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,178,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2021-04-16,2,-2,HOUSTON ROCKETS,HOME,DENVER NUGGETS,LOSS,256,0,1,0,0,2,2,0,0,0,0,0,0,0,1.3
True,2021-04-19,0,1,HOUSTON ROCKETS,AWAY,MIAMI HEAT,LOSS,260,0,1,0,1,0,0,1,0,1,0,0,0,0,0.7
True,2021-04-21,8,11,HOUSTON ROCKETS,HOME,UTAH JAZZ,LOSS,313,3,4,2,3,0,0,0,1,1,0,1,0,0,8.1
True,2021-04-24,21,0,HOUSTON ROCKETS,AWAY,DENVER NUGGETS,LOSS,1834,8,14,4,9,1,1,1,0,1,0,0,3,4,11.2
True,2021-04-29,0,-5,HOUSTON ROCKETS,HOME,MILWAUKEE BUCKS,WIN,457,0,1,0,1,0,0,0,1,0,1,0,0,0,0.6
True,2021-05-01,0,-2,HOUSTON ROCKETS,HOME,GOLDEN STATE WARRIORS,LOSS,444,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2021-05-02,7,-1,HOUSTON ROCKETS,HOME,NEW YORK KNICKS,LOSS,803,2,4,1,2,2,2,1,1,1,0,1,1,1,6.0
True,2021-05-05,22,-8,HOUSTON ROCKETS,HOME,PHILADELPHIA 76ERS,LOSS,2149,7,15,4,9,4,4,2,3,2,1,0,2,3,15.8
True,2021-05-07,14,-2,HOUSTON ROCKETS,AWAY,MILWAUKEE BUCKS,LOSS,2091,5,12,4,10,0,0,0,4,2,0,2,2,4,8.0
True,2021-05-08,3,-19,HOUSTON ROCKETS,AWAY,UTAH JAZZ,LOSS,1906,1,6,0,2,1,2,3,2,0,0,0,2,2,-1.3
True,2021-05-10,3,4,HOUSTON ROCKETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,664,1,1,1,1,0,0,0,3,1,0,0,0,0,4.3
True,2021-05-12,9,-18,HOUSTON ROCKETS,AWAY,LOS ANGELES LAKERS,LOSS,2043,4,7,1,3,0,0,2,7,4,1,0,2,5,9.0
True,2021-05-14,17,19,HOUSTON ROCKETS,HOME,LOS ANGELES CLIPPERS,WIN,1809,6,10,3,5,2,2,2,3,3,0,0,1,0,15.8
True,2021-05-16,7,-23,HOUSTON ROCKETS,AWAY,ATLANTA HAWKS,LOSS,2543,2,6,0,4,3,4,2,2,4,2,0,3,1,6.6
