active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2020-12-26,4,-16,OKLAHOMA CITY THUNDER,AWAY,CHARLOTTE HORNETS,WIN,1226,2,5,0,2,0,0,0,0,2,2,0,4,2,-0.1
True,2020-12-28,6,-8,OKLAHOMA CITY THUNDER,HOME,UTAH JAZZ,LOSS,1184,2,2,1,1,1,2,0,0,2,1,0,3,1,4.0
True,2020-12-29,7,-5,OKLAHOMA CITY THUNDER,HOME,ORLANDO MAGIC,LOSS,1211,2,6,1,5,2,4,0,1,3,0,0,2,2,2.4
True,2020-12-31,6,-20,OKLAHOMA CITY THUNDER,HOME,NEW ORLEANS PELICANS,LOSS,1581,2,9,2,7,0,0,0,5,2,0,0,1,3,1.2
True,2021-01-02,12,8,OKLAHOMA CITY THUNDER,AWAY,ORLANDO MAGIC,WIN,1161,5,7,1,3,1,1,1,2,4,1,0,1,2,12.4
True,2021-01-04,7,-14,OKLAHOMA CITY THUNDER,AWAY,MIAMI HEAT,LOSS,1065,2,7,2,7,1,2,0,1,2,1,0,3,0,2.2
True,2021-01-06,6,-4,OKLAHOMA CITY THUNDER,AWAY,NEW ORLEANS PELICANS,WIN,1152,2,4,2,2,0,0,0,2,4,0,0,3,3,3.2
True,2021-01-08,4,13,OKLAHOMA CITY THUNDER,AWAY,NEW YORK KNICKS,WIN,1334,2,8,0,3,0,0,0,5,3,0,0,0,4,1.2
True,2021-01-10,3,18,OKLAHOMA CITY THUNDER,AWAY,BROOKLYN NETS,WIN,1119,1,7,1,4,0,0,0,1,5,2,0,0,1,3.9
True,2021-01-12,4,-15,OKLAHOMA CITY THUNDER,HOME,SAN ANTONIO SPURS,LOSS,913,2,5,0,2,0,2,0,2,1,0,0,3,3,-2.4
True,2021-01-13,7,-8,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES LAKERS,LOSS,1547,3,9,1,2,0,0,2,0,4,0,0,1,1,4.7
True,2021-01-15,10,-20,OKLAHOMA CITY THUNDER,HOME,CHICAGO BULLS,WIN,891,4,8,2,5,0,0,0,3,2,0,0,2,1,5.9
True,2021-01-19,7,-11,OKLAHOMA CITY THUNDER,AWAY,DENVER NUGGETS,LOSS,1230,3,7,1,4,0,0,0,3,3,1,0,2,1,4.9
True,2021-01-22,5,-8,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES CLIPPERS,LOSS,1159,2,7,1,2,0,0,0,5,2,1,0,1,4,2.2
True,2021-01-24,2,-4,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES CLIPPERS,LOSS,1007,1,5,0,3,0,0,0,2,1,0,0,0,3,-1.0
True,2021-01-25,6,1,OKLAHOMA CITY THUNDER,AWAY,PORTLAND TRAIL BLAZERS,WIN,1304,2,7,2,5,0,0,0,4,4,0,0,1,3,3.7
True,2021-01-27,11,6,OKLAHOMA CITY THUNDER,AWAY,PHOENIX SUNS,WIN,1787,4,7,3,6,0,0,1,5,2,1,0,2,3,9.1
True,2021-01-29,24,-8,OKLAHOMA CITY THUNDER,HOME,BROOKLYN NETS,LOSS,2005,8,9,6,6,2,2,0,3,3,1,0,1,0,23.9
True,2021-02-01,11,-11,OKLAHOMA CITY THUNDER,HOME,HOUSTON ROCKETS,LOSS,1703,3,7,1,4,4,4,0,1,1,2,0,2,2,7.5
True,2021-02-03,6,-1,OKLAHOMA CITY THUNDER,HOME,HOUSTON ROCKETS,WIN,2148,2,12,1,5,1,2,0,3,4,6,1,3,2,4.6
True,2021-02-06,10,-5,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,WIN,1860,4,8,2,4,0,0,1,2,6,1,0,3,4,7.9
True,2021-02-16,7,-4,OKLAHOMA CITY THUNDER,HOME,PORTLAND TRAIL BLAZERS,LOSS,1671,2,7,0,3,3,3,0,2,3,1,0,0,2,5.8
True,2021-02-17,14,-1,OKLAHOMA CITY THUNDER,AWAY,MEMPHIS GRIZZLIES,LOSS,2029,4,7,4,5,2,2,0,5,2,2,0,3,3,11.4
True,2021-02-19,5,-17,OKLAHOMA CITY THUNDER,AWAY,MILWAUKEE BUCKS,LOSS,1805,2,6,1,4,0,0,0,3,2,1,1,1,5,2.6
True,2021-02-21,14,2,OKLAHOMA CITY THUNDER,AWAY,CLEVELAND CAVALIERS,WIN,1995,5,7,3,4,1,1,0,2,3,0,0,5,3,7.6
True,2021-02-22,8,-5,OKLAHOMA CITY THUNDER,HOME,MIAMI HEAT,LOSS,2023,3,7,2,6,0,0,1,4,5,0,0,2,3,6.5
True,2021-02-24,3,7,OKLAHOMA CITY THUNDER,HOME,SAN ANTONIO SPURS,WIN,2084,1,5,1,4,0,0,0,3,3,4,0,1,2,5.1
True,2021-02-26,13,-2,OKLAHOMA CITY THUNDER,HOME,ATLANTA HAWKS,WIN,2065,4,11,2,6,3,3,1,3,12,1,0,1,0,16.9
True,2021-02-27,1,-28,OKLAHOMA CITY THUNDER,HOME,DENVER NUGGETS,LOSS,1940,0,6,0,5,1,2,0,3,6,1,0,1,2,0.7
True,2021-03-03,11,3,OKLAHOMA CITY THUNDER,AWAY,DALLAS MAVERICKS,LOSS,1844,5,10,1,5,0,0,0,3,1,1,0,3,2,4.8
True,2021-03-04,7,-3,OKLAHOMA CITY THUNDER,AWAY,SAN ANTONIO SPURS,WIN,1761,2,6,1,3,2,2,0,7,5,0,0,1,2,7.4
True,2021-03-11,11,2,OKLAHOMA CITY THUNDER,HOME,DALLAS MAVERICKS,WIN,2139,4,9,3,4,0,0,0,4,9,0,0,2,5,9.8
True,2021-03-13,10,-14,OKLAHOMA CITY THUNDER,HOME,NEW YORK KNICKS,LOSS,1736,4,7,2,4,0,2,0,4,3,0,0,5,4,2.6
True,2021-03-16,8,-28,OKLAHOMA CITY THUNDER,AWAY,CHICAGO BULLS,LOSS,1930,3,10,2,6,0,0,1,3,3,0,0,3,2,2.1
True,2021-03-18,10,2,OKLAHOMA CITY THUNDER,AWAY,ATLANTA HAWKS,LOSS,1318,4,10,2,4,0,0,1,1,5,0,0,1,0,8.1
True,2021-03-21,12,2,OKLAHOMA CITY THUNDER,AWAY,HOUSTON ROCKETS,WIN,1939,4,12,2,7,2,2,2,2,2,3,0,2,3,8.4
True,2021-03-22,9,-3,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,WIN,1999,3,12,3,7,0,0,1,3,5,1,1,2,0,6.6
True,2021-03-24,10,-17,OKLAHOMA CITY THUNDER,HOME,MEMPHIS GRIZZLIES,LOSS,1949,4,14,2,5,0,0,1,3,0,1,0,2,1,2.0
True,2021-03-27,22,-16,OKLAHOMA CITY THUNDER,HOME,BOSTON CELTICS,LOSS,2227,7,16,4,10,4,4,1,7,4,2,0,2,2,18.4
True,2021-03-29,14,-26,OKLAHOMA CITY THUNDER,HOME,DALLAS MAVERICKS,LOSS,1709,4,13,1,4,5,6,1,5,1,0,0,2,3,5.8
True,2021-03-31,11,-1,OKLAHOMA CITY THUNDER,HOME,TORONTO RAPTORS,WIN,1947,3,16,2,8,3,4,1,6,6,1,1,4,2,4.2
True,2021-04-02,33,-26,OKLAHOMA CITY THUNDER,AWAY,PHOENIX SUNS,LOSS,1862,10,18,5,7,8,10,0,5,3,1,0,5,3,22.0
