active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2020-12-23,4,6,CHICAGO BULLS,HOME,ATLANTA HAWKS,LOSS,1007,2,6,0,3,0,0,1,1,2,1,1,0,1,4.3
True,2020-12-26,0,-2,CHICAGO BULLS,HOME,INDIANA PACERS,LOSS,299,0,1,0,1,0,0,0,0,0,0,0,1,2,-2.5
True,2021-01-01,4,-2,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,LOSS,597,2,4,0,2,0,0,0,1,1,1,0,0,2,3.2
True,2021-01-08,3,-3,CHICAGO BULLS,AWAY,LOS ANGELES LAKERS,LOSS,411,1,3,1,2,0,0,0,1,1,0,0,1,0,1.3
True,2021-01-10,0,-3,CHICAGO BULLS,AWAY,LOS ANGELES CLIPPERS,LOSS,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2021-01-18,0,-7,CHICAGO BULLS,HOME,HOUSTON ROCKETS,WIN,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2021-02-12,0,0,CHICAGO BULLS,HOME,LOS ANGELES CLIPPERS,LOSS,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2021-03-16,0,-2,CHICAGO BULLS,HOME,OKLAHOMA CITY THUNDER,WIN,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2021-03-22,2,-3,CHICAGO BULLS,HOME,UTAH JAZZ,LOSS,166,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2021-04-21,2,2,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,187,1,2,0,1,0,1,0,1,0,0,0,0,0,0.9
True,2021-04-22,0,0,CHICAGO BULLS,HOME,CHARLOTTE HORNETS,WIN,84,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.3
True,2021-04-28,0,-2,CHICAGO BULLS,AWAY,NEW YORK KNICKS,LOSS,93,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2021-04-30,0,2,CHICAGO BULLS,HOME,MILWAUKEE BUCKS,LOSS,56,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2021-05-15,0,6,CHICAGO BULLS,AWAY,BROOKLYN NETS,LOSS,149,0,1,0,0,0,0,0,0,0,0,0,1,0,-1.7
