active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2020-12-23,21,6,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,WIN,1839,9,15,1,3,2,2,0,6,9,2,0,3,3,20.0
True,2020-12-26,11,-5,SAN ANTONIO SPURS,HOME,TORONTO RAPTORS,WIN,1799,5,15,0,3,1,1,2,8,10,0,0,2,3,10.1
True,2020-12-27,13,-6,SAN ANTONIO SPURS,AWAY,NEW ORLEANS PELICANS,LOSS,1862,6,9,1,3,0,0,0,7,3,2,0,6,1,8.9
True,2020-12-30,29,-3,SAN ANTONIO SPURS,HOME,LOS ANGELES LAKERS,LOSS,2099,12,19,2,3,3,3,0,7,7,1,0,4,3,23.3
True,2021-01-01,12,-2,SAN ANTONIO SPURS,HOME,LOS ANGELES LAKERS,LOSS,1783,5,13,0,4,2,4,2,6,1,1,0,2,2,6.2
True,2021-01-03,4,-15,SAN ANTONIO SPURS,HOME,UTAH JAZZ,LOSS,1535,1,13,0,2,2,4,1,2,5,3,0,0,1,1.9
True,2021-01-05,21,10,SAN ANTONIO SPURS,AWAY,LOS ANGELES CLIPPERS,WIN,2202,9,18,2,5,1,1,2,3,5,2,0,2,2,17.0
True,2021-01-07,18,10,SAN ANTONIO SPURS,AWAY,LOS ANGELES LAKERS,WIN,1898,7,14,2,4,2,2,0,8,2,0,0,0,3,13.6
True,2021-01-09,22,7,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2453,7,18,3,6,5,6,2,12,4,1,1,2,2,18.5
True,2021-01-10,11,-8,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2156,5,15,1,3,0,0,1,3,5,0,0,0,4,6.0
