active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2020-12-22,6,12,BROOKLYN NETS,HOME,GOLDEN STATE WARRIORS,WIN,1183,1,4,1,4,3,4,0,1,0,1,0,2,3,1.3
True,2020-12-25,5,1,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,1165,1,3,1,3,2,2,0,3,1,0,1,1,0,4.6
True,2020-12-27,0,-4,BROOKLYN NETS,AWAY,CHARLOTTE HORNETS,LOSS,798,0,9,0,8,0,0,0,1,0,0,0,3,2,-9.8
True,2020-12-28,5,-6,BROOKLYN NETS,HOME,MEMPHIS GRIZZLIES,LOSS,1443,2,5,1,3,0,0,0,1,1,3,0,0,0,6.3
True,2020-12-30,14,11,BROOKLYN NETS,HOME,ATLANTA HAWKS,WIN,1046,5,5,2,2,2,2,1,0,0,1,0,0,2,13.4
True,2021-01-01,0,-18,BROOKLYN NETS,HOME,ATLANTA HAWKS,LOSS,1007,0,2,0,2,0,0,0,1,1,1,0,2,1,-1.8
True,2021-01-03,0,-15,BROOKLYN NETS,HOME,WASHINGTON WIZARDS,LOSS,1024,0,1,0,1,0,0,0,0,2,0,0,0,1,0.3
True,2021-01-05,5,7,BROOKLYN NETS,HOME,UTAH JAZZ,WIN,430,1,3,1,3,2,2,0,1,1,0,0,0,0,4.3
True,2021-01-07,6,-7,BROOKLYN NETS,HOME,PHILADELPHIA 76ERS,WIN,1149,2,7,2,4,0,0,1,2,0,0,0,0,2,2.4
True,2021-01-08,8,-15,BROOKLYN NETS,AWAY,MEMPHIS GRIZZLIES,LOSS,1300,3,7,2,5,0,0,0,2,4,2,0,0,1,9.3
True,2021-01-10,3,-15,BROOKLYN NETS,HOME,OKLAHOMA CITY THUNDER,LOSS,928,1,5,0,4,1,1,0,1,0,1,0,2,1,-1.2
True,2021-01-12,5,-17,BROOKLYN NETS,HOME,DENVER NUGGETS,WIN,962,2,3,1,1,0,0,0,4,1,0,0,0,1,5.2
True,2021-01-13,13,1,BROOKLYN NETS,AWAY,NEW YORK KNICKS,WIN,1403,3,9,3,7,4,5,0,1,5,0,0,1,1,9.9
True,2021-01-16,5,1,BROOKLYN NETS,HOME,ORLANDO MAGIC,WIN,997,2,4,1,2,0,0,0,1,0,1,0,0,1,3.9
True,2021-01-18,5,-5,BROOKLYN NETS,HOME,MILWAUKEE BUCKS,WIN,687,1,2,1,2,2,2,0,0,1,0,0,1,2,2.9
True,2021-01-22,0,6,BROOKLYN NETS,AWAY,CLEVELAND CAVALIERS,LOSS,1136,0,6,0,5,0,0,1,2,0,0,1,0,2,-3.0
True,2021-01-29,11,6,BROOKLYN NETS,AWAY,OKLAHOMA CITY THUNDER,WIN,1102,4,8,3,7,0,0,0,0,1,0,0,0,2,6.9
True,2021-01-31,11,-7,BROOKLYN NETS,AWAY,WASHINGTON WIZARDS,LOSS,1229,3,7,2,6,3,4,0,1,1,1,1,1,0,8.6
True,2021-02-02,4,5,BROOKLYN NETS,HOME,LOS ANGELES CLIPPERS,WIN,655,1,3,0,2,2,3,1,0,1,0,0,2,1,0.9
True,2021-02-05,12,-3,BROOKLYN NETS,HOME,TORONTO RAPTORS,LOSS,1306,4,11,4,9,0,0,0,2,2,0,0,0,0,7.9
True,2021-02-06,22,-13,BROOKLYN NETS,AWAY,PHILADELPHIA 76ERS,LOSS,2004,7,17,5,13,3,3,0,3,3,0,0,2,1,13.5
True,2021-02-09,10,-7,BROOKLYN NETS,AWAY,DETROIT PISTONS,LOSS,1076,3,7,2,2,2,2,0,1,1,0,0,1,4,4.7
