active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2020-12-23,21,10,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,LOSS,2178,9,22,0,2,3,5,2,9,15,0,0,6,3,15.8
True,2020-12-26,15,2,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,2159,6,19,0,4,3,4,2,13,12,2,0,5,3,13.2
True,2020-12-29,21,3,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,LOSS,2264,9,17,1,4,2,2,0,15,11,1,0,6,3,18.7
True,2020-12-31,22,-10,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,LOSS,2359,8,18,3,5,3,6,2,8,11,1,0,5,4,17.3
True,2021-01-03,24,0,WASHINGTON WIZARDS,AWAY,BROOKLYN NETS,WIN,2278,7,25,1,7,9,12,1,4,10,2,0,2,2,16.2
True,2021-01-06,20,-4,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,LOSS,2337,8,18,3,6,1,4,0,8,12,3,1,6,4,16.3
True,2021-01-08,12,-17,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,2009,4,16,2,5,2,2,0,4,8,0,1,7,4,1.3
True,2021-01-24,9,-20,WASHINGTON WIZARDS,AWAY,SAN ANTONIO SPURS,LOSS,1517,3,11,1,3,2,4,3,5,6,0,0,4,1,5.1
True,2021-01-26,19,-13,WASHINGTON WIZARDS,AWAY,HOUSTON ROCKETS,LOSS,1706,7,17,1,4,4,8,2,9,7,0,0,6,3,10.1
True,2021-01-29,26,-9,WASHINGTON WIZARDS,HOME,ATLANTA HAWKS,LOSS,1626,8,18,3,5,7,8,0,6,4,0,1,3,2,17.7
True,2021-01-31,41,7,WASHINGTON WIZARDS,HOME,BROOKLYN NETS,WIN,2076,16,28,4,7,5,7,4,6,8,2,1,3,4,35.3
True,2021-02-02,17,-14,WASHINGTON WIZARDS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1971,7,15,1,3,2,2,1,11,10,0,0,4,4,14.7
True,2021-02-05,13,-22,WASHINGTON WIZARDS,AWAY,MIAMI HEAT,LOSS,1476,4,9,0,1,5,7,1,2,3,0,0,6,2,4.1
True,2021-02-07,12,-20,WASHINGTON WIZARDS,AWAY,CHARLOTTE HORNETS,LOSS,1660,4,9,0,3,4,8,4,7,9,0,2,5,1,12.9
True,2021-02-10,23,-22,WASHINGTON WIZARDS,HOME,TORONTO RAPTORS,LOSS,2043,9,20,3,8,2,2,1,5,7,1,0,5,4,14.1
True,2021-02-12,23,-19,WASHINGTON WIZARDS,HOME,NEW YORK KNICKS,LOSS,2072,10,22,0,4,3,6,2,7,10,1,0,5,1,16.5
True,2021-02-14,13,27,WASHINGTON WIZARDS,HOME,BOSTON CELTICS,WIN,1744,6,19,0,2,1,3,2,7,11,1,0,3,3,9.3
True,2021-02-15,16,1,WASHINGTON WIZARDS,HOME,HOUSTON ROCKETS,WIN,2008,8,22,0,3,0,1,3,10,15,0,0,5,1,13.6
True,2021-02-17,12,0,WASHINGTON WIZARDS,HOME,DENVER NUGGETS,WIN,2356,5,15,0,2,2,6,4,9,12,2,1,8,5,8.5
True,2021-02-20,27,2,WASHINGTON WIZARDS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2243,11,17,0,1,5,7,2,9,13,0,0,7,4,23.3
True,2021-02-22,32,0,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,WIN,2655,13,25,0,1,6,12,1,13,9,0,0,2,5,24.2
True,2021-02-23,20,-26,WASHINGTON WIZARDS,AWAY,LOS ANGELES CLIPPERS,LOSS,2065,9,18,0,1,2,5,1,8,10,2,1,3,1,19.2
True,2021-02-25,16,1,WASHINGTON WIZARDS,AWAY,DENVER NUGGETS,WIN,2241,6,17,1,3,3,4,1,9,10,3,0,5,3,13.3
